backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
classic_revolution_8x5,ALL,8,8,0.14064478405974706,3.25,8.0,3
classic_revolution_8x5,RTLLM,5,5,0.1452769769634218,3.6,10.6,2
classic_revolution_8x5,VerilogEval-Spec-to-RTL,3,3,0.13292446255362253,2.6666666666666665,3.6666666666666665,1
graph_testability_3d,ALL,8,8,0.15195004831141634,2.625,5.625,1
graph_testability_3d,RTLLM,5,5,0.16363613947443195,3.2,8.0,1
graph_testability_3d,VerilogEval-Spec-to-RTL,3,3,0.13247322970639033,1.6666666666666667,1.6666666666666667,0
random_hash_3d,ALL,8,8,0.13456750289628988,2.625,5.25,0
random_hash_3d,RTLLM,5,5,0.13562344504857154,3.4,7.6,0
random_hash_3d,VerilogEval-Spec-to-RTL,3,3,0.13280759930915373,1.3333333333333333,1.3333333333333333,0
size_control_3d,ALL,8,8,0.14128500472348182,2.25,4.0,0
size_control_3d,RTLLM,5,5,0.14637144797207868,2.6,5.8,0
size_control_3d,VerilogEval-Spec-to-RTL,3,3,0.13280759930915373,1.6666666666666667,1.0,0
smooth_qd_v2_8x5,ALL,8,8,0.17376375275693837,2.625,7.875,4
smooth_qd_v2_8x5,RTLLM,5,5,0.1981684347330043,3.0,10.2,2
smooth_qd_v2_8x5,VerilogEval-Spec-to-RTL,3,3,0.13308928279682847,2.0,4.0,2
