view,candidate_count,nearest_cosine_mean,same_problem_fraction,same_problem_delta_vs_t06,same_corpus_fraction,same_corpus_delta_vs_t06,same_normalized_rtl_fraction,same_canonical_netlist_fraction,same_motif_signature_fraction,same_style_cluster_fraction
canonical_rtl,768,0.992352095,0.894531250,-0.039062500,0.923177083,-0.024739583,0.295572917,0.152343750,0.192708333,0.946614583
canonical_yosys_netlist,768,0.997140210,0.738281250,-0.195312500,0.822916667,-0.125000000,0.203125000,0.114583333,0.145833333,0.899739583
commentless_rtl,768,0.993472725,0.937500000,0.003906250,0.944010417,-0.003906250,0.354166667,0.162760417,0.186197917,0.942708333
identifier_role_rtl,768,0.993208503,0.906250000,-0.027343750,0.930989583,-0.016927083,0.359375000,0.158854167,0.194010417,0.951822917
raw_rtl,768,0.979435952,0.942708333,0.009114583,0.949218750,0.001302083,0.324218750,0.138020833,0.186197917,0.945312500
summary_plus_netlist,768,0.996737484,0.816406250,-0.117187500,0.910156250,-0.037760417,0.263020833,0.167968750,0.212239583,0.962239583
