view,candidate_count,total_chars,mean_chars,min_chars,max_chars
canonical_rtl,768,431332,561.63,78,3848
canonical_yosys_netlist,768,17466141,22742.37,195,711482
commentless_rtl,768,482165,627.82,70,4488
identifier_role_rtl,768,586214,763.30,85,4796
raw_rtl,768,601472,783.17,70,4904
summary_plus_netlist,768,17740071,23099.05,544,711847
