method,problem,hypervolume,hv_auc,valid_ppa_count,pareto_point_count,hv_delta_vs_classic,hv_auc_delta_vs_classic
classic_revolution_8x5,Prob019_sub_64bit,0.449947938652,0.40494655504,12,1,0,0
classic_revolution_8x5,Prob036_edge_detect,0.355889724311,0.32030075188,7,1,0,0
classic_revolution_8x5,Prob045_alu,0.246642578356,0.19624236231,27,1,0,0
pcn_passive_archive_8x5,Prob019_sub_64bit,0,0,3,1,-0.449947938652,-0.40494655504
pcn_passive_archive_8x5,Prob036_edge_detect,0,0,3,1,-0.355889724311,-0.32030075188
pcn_passive_archive_8x5,Prob045_alu,0.185745988567,0.183998111571,16,2,-0.0608965897891,-0.0122442507394
pcn_rf_leafid_quality_memory_8x5,Prob019_sub_64bit,0,0,4,1,-0.449947938652,-0.40494655504
pcn_rf_leafid_quality_memory_8x5,Prob036_edge_detect,0.355889724311,0.177944862155,3,1,0,-0.142355889724
pcn_rf_leafid_quality_memory_8x5,Prob045_alu,0.171527790262,0.159822883501,9,2,-0.0751147880938,-0.0364194788095
pcn_random_quality_memory_8x5,Prob019_sub_64bit,0,0,3,1,-0.449947938652,-0.40494655504
pcn_random_quality_memory_8x5,Prob036_edge_detect,0,0,2,1,-0.355889724311,-0.32030075188
pcn_random_quality_memory_8x5,Prob045_alu,0.231241797753,0.224900446284,14,2,-0.0154007806032,0.0286580839736
pcn_sr_quality_memory_8x5,Prob019_sub_64bit,0,0,3,1,-0.449947938652,-0.40494655504
pcn_sr_quality_memory_8x5,Prob036_edge_detect,0,0,1,1,-0.355889724311,-0.32030075188
pcn_sr_quality_memory_8x5,Prob045_alu,0.169764659965,0.167733381431,7,2,-0.0768779183915,-0.0285089808795
