method,planned_status,seed,benchmark,problems,population_size,num_generations,archive_type,cell_mode,max_elites_per_cell,grid_quantile_warmup_successes,adaptive_warmup_successes,adaptive_warmup_generation,descriptor_profile,descriptor_file,parent_selection,champion_lane_fraction,two_parent_probability,save_path
classic_revolution,planned_control,1001,RTLLM,"Prob045_alu;Prob041_traffic_light;Prob015_multi_pipe_8bit",12,3,none,none,0,0,0,0,none,none,none,0.00,0.00,exp/useful_bd_push/t41_adaptive_sparse_yield_gate_qd_${RUN_TS}/classic_revolution/seed_1001
adaptive_sparse_yield_gate_qd,planned,1001,RTLLM,"Prob045_alu;Prob041_traffic_light;Prob015_multi_pipe_8bit",12,3,grid_quantile,elite_pareto_slot,2,8,4,1,journal_graph_testability_3d,data/configs/qd_descriptor_profiles.yaml,nsga2_global_rank,0.80,0.00,exp/useful_bd_push/t41_adaptive_sparse_yield_gate_qd_${RUN_TS}/adaptive_sparse_yield_gate_qd/seed_1001
manual_sparse_pareto_qd,frozen_t40_control,1001,RTLLM,"Prob045_alu;Prob041_traffic_light;Prob015_multi_pipe_8bit",12,3,grid_quantile,pareto_front,5,4,0,0,journal_logic_ff_width_3d,none,nsga2_global_rank,0.80,0.00,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC/manual_sparse_pareto_qd/seed_1001
random_sparse_elite_slot_qd,frozen_t40_control,1001,RTLLM,"Prob045_alu;Prob041_traffic_light;Prob015_multi_pipe_8bit",12,3,grid_quantile,elite_pareto_slot,2,4,0,0,random_hash_3d,docs/journal_features/revamp_history/20260618_232234_KST_auto_bd_research/auto_bd_methods/00_random_descriptor/descriptor_profile.yaml,nsga2_global_rank,0.80,0.00,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC/random_sparse_elite_slot_qd/seed_1001
graph_full_pareto_sparse_qd,frozen_t40_control,1001,RTLLM,"Prob045_alu;Prob041_traffic_light;Prob015_multi_pipe_8bit",12,3,grid_quantile,pareto_front,5,4,0,0,journal_graph_testability_3d,data/configs/qd_descriptor_profiles.yaml,nsga2_global_rank,0.80,0.00,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC/graph_full_pareto_sparse_qd/seed_1001
t39_sparse_warmup_elite_slot_qd,frozen_reference,1001,RTLLM,"Prob045_alu;Prob041_traffic_light;Prob015_multi_pipe_8bit",12,3,grid_quantile,elite_pareto_slot,2,4,0,0,journal_graph_testability_3d,data/configs/qd_descriptor_profiles.yaml,nsga2_global_rank,0.80,0.00,exp/useful_bd_push/t39_sparse_yield_warmup_qd_20260622_062937_UTC/sparse_warmup_elite_slot_qd/seed_1001
