arm,seconds,run_root
classic_revolution,719,exp/useful_bd_push/t41_adaptive_sparse_yield_gate_qd_20260622_083629_UTC/classic_revolution/seed_1001
adaptive_sparse_yield_gate_qd,1033,exp/useful_bd_push/t41_adaptive_sparse_yield_gate_qd_20260622_083629_UTC/adaptive_sparse_yield_gate_qd/seed_1001
