cohort,method,candidate_count,front_count,occupied_cells,front_cells,mean_timing_risk_score,mean_front_timing_risk_score,mean_control_pipeline_ratio,mean_front_control_pipeline_ratio
Prob001_accu,classic_revolution,11,3,6,2,22.827273,20.400000,0.288193,0.293040
Prob002_adder_16bit,classic_revolution,11,1,5,1,22.172727,25.400000,1.727273,1.000000
Prob003_adder_32bit,classic_revolution,17,1,5,1,74.867647,16.350000,1.294118,1.000000
Prob004_adder_8bit,classic_revolution,8,1,6,1,28.800000,20.500000,1.500000,1.000000
Prob005_adder_bcd,classic_revolution,15,1,5,1,16.010000,14.950000,2.066667,2.000000
Prob007_comparator_3bit,classic_revolution,16,1,5,1,13.940625,7.050000,1.125000,1.000000
Prob008_comparator_4bit,classic_revolution,18,1,5,1,22.883333,59.800000,1.111111,1.000000
Prob009_div_16bit,classic_revolution,25,5,7,3,21.700000,20.140000,2.560000,2.200000
Prob011_multi_16bit,classic_revolution,14,3,9,1,42.892857,37.766667,0.366783,0.266444
Prob012_multi_8bit,classic_revolution,5,1,3,1,21.820000,7.300000,1.800000,1.000000
Prob015_multi_pipe_8bit,classic_revolution,12,5,8,4,40.050000,40.220000,0.309020,0.295177
Prob019_sub_64bit,classic_revolution,9,1,5,1,16.433333,17.400000,1.777778,1.000000
Prob020_JC_counter,classic_revolution,4,1,3,1,11.162500,6.250000,0.512500,0.400000
Prob021_counter_12,classic_revolution,8,3,6,3,15.743750,18.016667,0.811111,0.718519
Prob023_up_down_counter,classic_revolution,3,1,3,1,15.400000,21.700000,0.650000,0.750000
Prob024_fsm,classic_revolution,8,1,4,1,18.818750,5.600000,1.462500,0.500000
Prob025_sequence_detector,classic_revolution,3,1,2,1,12.616667,5.750000,0.722222,0.500000
Prob027_LIFObuffer,classic_revolution,32,6,14,5,38.415625,30.683333,0.594786,0.634722
Prob030_right_shifter,classic_revolution,3,1,3,1,3.800000,2.600000,0.277778,0.333333
Prob031_freq_div,classic_revolution,5,1,4,1,20.400000,18.850000,0.406748,0.500000
Prob035_calendar,classic_revolution,5,2,3,2,35.620000,28.625000,0.483333,0.458333
Prob036_edge_detect,classic_revolution,8,1,6,1,8.181250,8.900000,0.292469,0.250000
Prob037_parallel2serial,classic_revolution,8,1,8,1,18.243750,21.350000,0.416667,0.555556
Prob041_traffic_light,classic_revolution,17,3,9,2,35.264706,37.383333,0.420777,0.524510
Prob043_RAM,classic_revolution,11,2,10,2,42.254545,44.325000,0.699206,1.000000
Prob044_ROM,classic_revolution,3,2,3,2,8.116667,8.475000,1.333333,1.000000
Prob045_alu,classic_revolution,28,1,10,1,86.425000,161.450000,8.464286,24.000000
Prob047_instr_reg,classic_revolution,4,1,3,1,9.400000,10.250000,0.486607,0.571429
Prob048_pe,classic_revolution,5,3,4,3,17.720000,20.633333,0.460000,0.466667
Prob049_signal_generator,classic_revolution,11,4,8,4,25.177273,26.550000,0.607834,0.688636
Prob050_square_wave,classic_revolution,25,2,11,1,18.524000,19.725000,0.458429,0.500000
Prob001_accu,sr_raw_conservative_exploit_qd,13,2,7,2,26.580769,21.450000,0.267426,0.248120
Prob002_adder_16bit,sr_raw_conservative_exploit_qd,11,1,7,1,20.954545,17.400000,1.909091,1.000000
Prob003_adder_32bit,sr_raw_conservative_exploit_qd,10,1,4,1,74.305000,16.350000,1.000000,1.000000
Prob004_adder_8bit,sr_raw_conservative_exploit_qd,11,1,6,1,31.036364,12.000000,1.727273,1.000000
Prob005_adder_bcd,sr_raw_conservative_exploit_qd,17,1,4,1,16.191176,15.100000,1.941176,2.000000
Prob007_comparator_3bit,sr_raw_conservative_exploit_qd,8,1,4,1,9.443750,5.600000,1.250000,1.000000
Prob008_comparator_4bit,sr_raw_conservative_exploit_qd,20,1,4,1,16.225000,54.800000,1.000000,1.000000
Prob009_div_16bit,sr_raw_conservative_exploit_qd,16,4,7,3,22.781250,20.250000,2.875000,2.750000
Prob010_radix2_div,sr_raw_conservative_exploit_qd,3,2,3,2,80.333333,80.025000,0.504713,0.500313
Prob011_multi_16bit,sr_raw_conservative_exploit_qd,19,3,11,3,44.013158,42.533333,0.435244,0.302304
Prob012_multi_8bit,sr_raw_conservative_exploit_qd,5,1,4,1,25.070000,7.300000,3.200000,1.000000
Prob013_multi_booth_8bit,sr_raw_conservative_exploit_qd,3,1,3,1,26.666667,21.400000,0.407197,0.454545
Prob015_multi_pipe_8bit,sr_raw_conservative_exploit_qd,9,4,7,4,43.588889,47.150000,0.426479,0.424031
Prob018_float_multi,sr_raw_conservative_exploit_qd,6,4,6,4,83.250000,84.587500,0.275051,0.264428
Prob019_sub_64bit,sr_raw_conservative_exploit_qd,12,1,5,1,28.820833,16.350000,3.916667,1.000000
Prob020_JC_counter,sr_raw_conservative_exploit_qd,4,1,4,1,9.500000,6.250000,0.450000,0.400000
Prob021_counter_12,sr_raw_conservative_exploit_qd,6,2,4,2,12.608333,11.500000,0.794444,0.650000
Prob023_up_down_counter,sr_raw_conservative_exploit_qd,1,1,1,1,10.900000,10.900000,0.600000,0.600000
Prob024_fsm,sr_raw_conservative_exploit_qd,8,3,5,3,22.481250,23.383333,1.856250,1.883333
Prob025_sequence_detector,sr_raw_conservative_exploit_qd,7,2,5,2,21.835714,21.625000,1.156463,1.285714
Prob027_LIFObuffer,sr_raw_conservative_exploit_qd,26,8,12,7,31.217308,34.168750,0.514436,0.541320
Prob029_barrel_shifter,sr_raw_conservative_exploit_qd,1,1,1,1,11.100000,11.100000,4.000000,4.000000
Prob030_right_shifter,sr_raw_conservative_exploit_qd,3,1,3,1,9.133333,2.600000,0.466667,0.333333
Prob031_freq_div,sr_raw_conservative_exploit_qd,3,1,3,1,19.266667,19.700000,0.369152,0.416667
Prob035_calendar,sr_raw_conservative_exploit_qd,6,3,4,2,32.333333,28.383333,0.530093,0.560185
Prob036_edge_detect,sr_raw_conservative_exploit_qd,4,1,4,1,10.350000,6.750000,0.351010,0.500000
Prob037_parallel2serial,sr_raw_conservative_exploit_qd,3,2,3,2,13.050000,13.125000,0.299242,0.312500
Prob039_serial2parallel,sr_raw_conservative_exploit_qd,2,1,2,1,17.725000,15.400000,0.300905,0.307692
Prob040_synchronizer,sr_raw_conservative_exploit_qd,12,1,10,1,12.387500,8.100000,0.339114,0.363636
Prob041_traffic_light,sr_raw_conservative_exploit_qd,10,2,7,2,39.570000,35.175000,0.605116,0.777778
Prob043_RAM,sr_raw_conservative_exploit_qd,4,1,4,1,39.737500,41.750000,0.700000,1.000000
Prob044_ROM,sr_raw_conservative_exploit_qd,3,2,3,2,6.450000,5.975000,1.333333,1.000000
Prob045_alu,sr_raw_conservative_exploit_qd,12,1,6,1,70.275000,99.050000,6.583333,15.000000
Prob047_instr_reg,sr_raw_conservative_exploit_qd,3,1,3,1,9.116667,8.050000,0.458333,0.333333
Prob048_pe,sr_raw_conservative_exploit_qd,4,1,3,1,15.662500,13.250000,0.425000,0.400000
Prob049_signal_generator,sr_raw_conservative_exploit_qd,5,2,4,2,21.830000,18.750000,0.543482,0.478022
Prob050_square_wave,sr_raw_conservative_exploit_qd,28,3,11,3,16.158929,12.966667,0.434793,0.419048
