method,seed,status,raw_root,notes
classic_revolution,1001,reuse,exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001,T47 matched classic comparator
code_thought_front_slot_lane_qd,1001,planned,exp/useful_bd_push/t54_front_slot_lane_<timestamp>/hard_tuning/code_thought_front_slot_lane_qd/seed_1001,T54 live arm
