aig_ands,aig_inputs,aig_latches,aig_outputs,aig_path,aig_variables,backend,benchmark,candidate,code_path,embedded_edges,embedded_nodes,embedding_seconds,generation,problem,status,stderr_tail
1554,219,0,216,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0000.aag,1773,classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit_sample7_initial,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample7_initial/code.sv,,,,Gen0,Prob015_multi_pipe_8bit,skipped_too_large,
1071,123,0,120,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0001.aag,1194,classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit_sample8_initial,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample8_initial/code.sv,,,,Gen0,Prob015_multi_pipe_8bit,skipped_too_large,
1089,115,0,112,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0002.aag,1204,classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit_sample2_M-E,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample2_M-E/code.sv,,,,Gen1,Prob015_multi_pipe_8bit,skipped_too_large,
50,11,0,8,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0003.aag,61,classic_revolution_8x5,RTLLM,Prob024_fsm_sample1_M-S,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample1_M-S/code.sv,132,97,0.045928,Gen1,Prob024_fsm,embedded,"Warning: Treating undriven bit fsm.\IN like $anyseq.
Warning: Treating a total of 1 undriven bits in fsm like $anyseq.
"
52,11,0,8,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0004.aag,63,classic_revolution_8x5,RTLLM,Prob024_fsm_sample2_M-F,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample2_M-F/code.sv,139,102,0.039094,Gen1,Prob024_fsm,embedded,"Warning: Treating undriven bit fsm.\IN like $anyseq.
Warning: Treating a total of 1 undriven bits in fsm like $anyseq.
"
59,11,0,8,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0005.aag,70,classic_revolution_8x5,RTLLM,Prob024_fsm_sample4_M-I,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample4_M-I/code.sv,150,109,0.043226,Gen1,Prob024_fsm,embedded,"Warning: Treating undriven bit fsm.\IN like $anyseq.
Warning: Treating a total of 1 undriven bits in fsm like $anyseq.
"
318,31,0,38,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0006.aag,349,classic_revolution_8x5,RTLLM,Prob041_traffic_light_sample8_initial,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen0/Prob041_traffic_light_sample8_initial/code.sv,779,543,0.143852,Gen0,Prob041_traffic_light,embedded,
225,25,0,32,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0007.aag,250,classic_revolution_8x5,RTLLM,Prob041_traffic_light_sample4_M-I,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen1/Prob041_traffic_light_sample4_M-I/code.sv,534,375,0.084220,Gen1,Prob041_traffic_light,embedded,
240,21,0,28,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0008.aag,261,classic_revolution_8x5,RTLLM,Prob041_traffic_light_sample3_M-I,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen2/Prob041_traffic_light_sample3_M-I/code.sv,603,418,0.129108,Gen2,Prob041_traffic_light,embedded,
2661,71,0,37,exp/useful_bd_push/deepgate_transition_bridge_probe_20260625_190300_UTC/aigs/candidate_0009.aag,2732,classic_revolution_8x5,RTLLM,Prob045_alu_sample1_initial,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen0/Prob045_alu_sample1_initial/code.sv,,,,Gen0,Prob045_alu,skipped_too_large,".\a [7] like $anyseq.
Warning: Treating undriven bit alu.\a [8] like $anyseq.
Warning: Treating undriven bit alu.\a [9] like $anyseq.
Warning: Treating undriven bit alu.\a [10] like $anyseq.
Warning: Treating undriven bit alu.\a [11] like $anyseq.
Warning: Treating undriven bit alu.\a [12] like $anyseq.
Warning: Treating undriven bit alu.\a [13] like $anyseq.
Warning: Treating undriven bit alu.\a [14] like $anyseq.
Warning: Treating undriven bit alu.\a [15] like $anyseq.
Warning: Treating undriven bit alu.\b [31] like $anyseq.
Warning: Treating a total of 17 undriven bits in alu like $anyseq.
"
