corpus,candidate_count,code_artifacts,netlist_artifacts,ppa_artifacts
aspdac2026_release,170057,170131.0,95327.0,90058
auto_bd_standard_results,23400,0.0,0.0,10343
rtllm_gen20,10413,10413.0,2600.0,2335
