benchmark,best_child_quality,best_quality_delta,child_edge_count,mean_child_quality,mean_quality_delta,method_name,new_cell_child_count,parent_found,parent_id,positive_quality_delta_count,problem,seed_dir,source_table
RTLLM,-0.2518121155249713,-0.8757043061203211,1,-0.2518121155249713,-0.8757043061203211,landing_smooth_qd_manual_bd,1,True,3da3d9db-5aaf-46e8-86e0-bace702be92e,0,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.6834970284641851,0.017370451464915115,3,0.6437604698849616,-0.02236610711430842,landing_smooth_qd_manual_bd,2,True,69818fb7-d721-4871-b328-afef766b90e5,1,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.2659972891252216,,1,0.2659972891252216,,landing_smooth_qd_manual_bd,0,False,7250deeb-a71b-48c3-b7fa-34a6c6c0819e,0,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.4695912834949431,,2,0.4695912834949431,,landing_smooth_qd_manual_bd,0,False,83d8ca11-766b-4bed-9b84-45fa9869d4d2,0,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.6834970284641851,0.21390574496924203,2,0.5875847148368261,0.117993431341883,landing_smooth_qd_manual_bd,1,True,8ef48cf4-4b98-4449-9387-3bdd66b4cb5c,2,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.6238921905953498,0.13221978938588275,4,0.4802661349181524,-0.011406266291314693,landing_smooth_qd_manual_bd,4,True,9be0f4db-be0b-4a62-a9f6-8505099fe612,2,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.6238921905953498,,4,0.4626683870295068,,landing_smooth_qd_manual_bd,0,False,a56b1220-0265-4622-9b34-bd61a6001cdc,0,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.66612657699927,0.17493379209675725,1,0.66612657699927,0.17493379209675725,landing_smooth_qd_manual_bd,1,True,c7380e35-ad68-4388-8d4d-8bcc7bc7b033,1,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.66612657699927,0.1965352935043269,1,0.66612657699927,0.1965352935043269,landing_smooth_qd_manual_bd,1,True,da3996a7-baa2-4898-9d97-3e28fb021fb0,1,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.6229329579814409,-0.043193619017829143,1,0.6229329579814409,-0.043193619017829143,landing_smooth_qd_manual_bd,1,True,de13a0ba-db8b-42a8-bcbe-9d2c216c4a46,0,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.5002335522886039,0.2342362631633823,1,0.5002335522886039,0.2342362631633823,landing_smooth_qd_manual_bd,0,True,fbf7fa66-c5f0-472c-8445-2d6b147e4803,1,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.0632507562750388,0.0632507562750388,2,0.0267606900498733,0.0267606900498733,landing_smooth_qd_manual_bd,0,True,5ef546eb-1f33-4ba7-ae0a-440dccda01d7,1,Prob037_parallel2serial,seed_1001,archive_cells.csv
RTLLM,0.0088610906712452,-0.0543896656037936,2,-0.024295642220587,-0.0875463984956258,landing_smooth_qd_manual_bd,2,True,7e22e5ff-7fd1-48ca-a49e-61743c77705c,0,Prob037_parallel2serial,seed_1001,archive_cells.csv
RTLLM,-0.0097293761752922,0.12301201864115781,1,-0.0097293761752922,0.12301201864115781,landing_smooth_qd_manual_bd,1,True,a8335d14-c53f-48cf-8aac-9938ebfe75f9,1,Prob037_parallel2serial,seed_1001,archive_cells.csv
RTLLM,-0.1553936718175128,-0.14566429564222058,1,-0.1553936718175128,-0.14566429564222058,landing_smooth_qd_manual_bd,1,True,cba9763d-cca1-4772-b473-474e7eddfa42,0,Prob037_parallel2serial,seed_1001,archive_cells.csv
RTLLM,0.3245104091019123,,1,0.3245104091019123,,landing_smooth_qd_manual_bd,0,False,15402f29-5162-4717-963b-3ac42b7f4946,0,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.3462236746550471,0.3642943597191962,3,0.3038610505930767,0.3219317356572258,landing_smooth_qd_manual_bd,3,True,21f4f88c-e97e-4eed-9cda-a712eaf4e494,3,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.4038205035100459,,1,0.4038205035100459,,landing_smooth_qd_manual_bd,0,False,57c6b327-0677-462c-a17e-6ed92843210e,0,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.279036552892762,-0.0904423868312757,1,0.279036552892762,-0.0904423868312757,landing_smooth_qd_manual_bd,1,True,5b211b05-0c6a-4a18-b14b-773d72f8b367,0,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.4208750907770515,0.0838344226579521,8,0.2994193294601791,-0.03762133865892029,landing_smooth_qd_manual_bd,8,True,61b4db35-6213-4321-88ee-996a9f79cd1f,2,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.3694789397240377,,1,0.3694789397240377,,landing_smooth_qd_manual_bd,0,False,69908a02-66d7-4587-988a-2a269fefbcd8,0,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.0983418058581457,-0.2261686032437666,1,0.0983418058581457,-0.2261686032437666,landing_smooth_qd_manual_bd,1,True,95e07491-ddc3-496d-874f-80ab9667d15c,0,Prob041_traffic_light,seed_1001,archive_cells.csv
