candidate_id,problem,kind,code_sha256,graph_sha256,node_dict_sha256,dff_bits,fanout,io_bits,and_ops,or_ops,not_ops,xor_ops,mux_ops,seq_area,comb_area,total_area,static_power,dynamic_power,total_power,predicted_area,leaf_row_hash,unique_leaf_ids,model_warning_count
t70_01_Prob004_adder_8bit_first_raw,Prob004_adder_8bit,first_raw,5797f9cf9005adfaaec24281180d9a67ead974c97a23328c533679622fe81630,ae113480c78d3cf362468b1b0de68a4934129c03295662726aa2eb1ba8873f66,c009617dcb26ab373d2ef03451725e7d1af8dd9c47e67044a147419412460a93,0,0,0,24,16,0,16,0,0,68.0,68.0,2.0,163.0,165.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_02_Prob004_adder_8bit_first_synthesized,Prob004_adder_8bit,first_synthesized,9a9f4bb01301a2017430b1b702bd808efa31f7e719fb375c3945b0384205c758,2d532d4a8ea38466506e4d2b144392948ac5f203563d53816c403e3e920594df,b7a72d09b508b5126db3e8c43ae2555637901d08ba2dae41b5c89b8341164415,0,0,0,24,16,0,16,0,0,68.0,68.0,2.0,163.0,165.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_03_Prob004_adder_8bit_last_synthesized,Prob004_adder_8bit,last_synthesized,cc8b12caf895c1460bd52c814ca0d4788c9d2d6038ad41629f673e7c5e860311,486aa80cd441700d2f531c9444d34a3af7446aac87ba5dfa95a5ef59c763db91,5880de17bd5e22344f127eb70b582b992ddeb00171ee335025c3cc290176b864,0,0,0,16,8,0,16,0,0,51.0,51.0,1.0,114.0,115.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_04_Prob015_multi_pipe_8bit_first_raw,Prob015_multi_pipe_8bit,first_raw,95fa915b42be28d423ab9b96dc85e69b06aef505e00b9d231d8ab19aa59f5bca,c120490531ba3e7cb3f6ade627ebaec218fff3fb2fc592e2dc960064810f5e09,060db5f7e438be7dd466879ac63003dda4d129e3cc0f545f7ae45abc11b55734,51,20,0,184,52,51,111,67,231.0,594.0,825.0,22.0,1428.0,1450.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_05_Prob015_multi_pipe_8bit_last_synthesized,Prob015_multi_pipe_8bit,last_synthesized,35dc6900874968e7ed32ed407978c981d308fd5269516db906f5e64b6b5f82d1,a677451ccb3361d4c947ac8f62df240bc452d5306370db9a619bd1af3fd4b983,c60907004a9c632de157c35d41b8bf60920b8dbe9a3d5ca819f647027ac81855,35,0,0,184,52,35,111,51,158.0,551.0,709.0,18.0,1308.0,1326.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_06_Prob024_fsm_first_raw,Prob024_fsm,first_raw,9875040d676b3aa093f63065fa9a3dfc1e45d0d7247f5b67a28268b6baf0475a,7428da030e891c2b282890ae5a04497fcc8f3f6fbe02fa4f95ffb037f287cb85,1ae1f51ff49e9011aa70a6b3fd68e3d0aec97d595b1fe9b8cf2ee6f5c601c619,4,0,0,6,17,10,0,4,18.0,40.0,58.0,2.0,112.0,114.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_07_Prob024_fsm_first_synthesized,Prob024_fsm,first_synthesized,b8fecf31ade33202deb5566345721aa1d928e332e18951fa91a270a8d764f978,30f16fb07efeae62de38395d79cb062fa98942b1e94d97ae48c6ddb754352474,c9b1cd53a30d9427366de1f4b339377dd94b6b13b50be84064ec892ddfcf3e42,3,0,0,5,17,10,0,4,14.0,39.0,53.0,2.0,106.0,108.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_08_Prob024_fsm_last_synthesized,Prob024_fsm,last_synthesized,a7653e7ab817112b9998d413e5275ade90642e7d681256771a74fdb03c62c448,6c845bdb6be3b65158000502e8d44993cb47544ed6f20b3644c2f3b4d2eeec08,99b2e868dde3d77db2f256f62a09a15fde34033074cdf0a36b3c05f6b2b4588c,3,0,0,6,17,10,0,3,14.0,38.0,52.0,2.0,106.0,108.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_09_Prob037_parallel2serial_first_raw,Prob037_parallel2serial,first_raw,760c1630b1273f5effb3186432f5caa751dd660ae37b237c64485fef8dfb3f6a,2891df3b8014e8a8ceea944969241d330c67b338627c1efe40e629690dbf5286,7fc4be2dbaec1b99bc9f3cc8f5ab70a6f98a9e1c78284f5db2350fa8040299f3,7,0,0,0,1,10,1,13,32.0,35.0,67.0,2.0,79.0,81.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
t70_10_Prob037_parallel2serial_first_synthesized,Prob037_parallel2serial,first_synthesized,7133f647e6a85deaf73b4f8c43cc154ed2816db6b02c3c1d5ca96ff76cc33bc2,a2ef0780e8436085ed8d001421026285b03413a6758de86a54c13c3e9246fca9,71d4f494269ad29765938c5fdcee96624efa184b7b697cde4a6f75b4dcc866c3,7,0,0,0,1,10,1,13,32.0,35.0,67.0,2.0,79.0,81.0,0.0,752c54581434f2d57d63dd486cacc52aa98e6642856f72dbfad3b30fc3983832,1,1
