backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
classic_revolution_8x5,ALL,46,33,0.09755705541435797,1.4782608695652173,3.717391304347826,20
classic_revolution_8x5,RTLLM,46,33,0.09755705541435797,1.4782608695652173,3.717391304347826,20
s01_capacity7,ALL,46,33,0.09450743390080074,1.5217391304347827,3.5217391304347827,10
s01_capacity7,RTLLM,46,33,0.09450743390080074,1.5217391304347827,3.5217391304347827,10
smooth_qd_v2_8x5,ALL,46,33,0.10031017508468461,1.608695652173913,3.891304347826087,4
smooth_qd_v2_8x5,RTLLM,46,33,0.10031017508468461,1.608695652173913,3.891304347826087,4
