method,descriptor_profile,parent_selection,two_parent_probability,representation,repair,status
T51 code-thought front slot,sr_raw_pca,nsga2_global_rank,0.0,code_individual,none,completed_control
T66 RTL-native guarded parent,fused_rtl_state_pipeline_2d,front_slot_lane_nsga2,0.10,code_individual,none,completed_proxy_control
T67 RTL-native seeded thought,fused_rtl_state_pipeline_2d,nsga2_global_rank,0.0,thought_only,none,completed_yield_clue
T72 source-aligned RTL cell,source_aligned_masterrtl_rtltimer_cell_2d,front_slot_lane_nsga2,0.0,code_individual,none,near_classic_not_promoted
