column,meaning,source
method,Method identifier,run manifest
benchmark,Benchmark name,run manifest
problem,Problem identifier,RTLLM manifest
seed,Random seed,run manifest
valid_functional_count,Functional candidates with PPA data,generation logs
synthesis_valid_count,Synthesis-valid candidates,generation logs
valid_ppa_count,Candidates with valid PPA metrics,generation logs
final_best_score,Best final-population score,summary JSON
hv,Hypervolume of nondominated normalized PPA-improvement points,analysis script
hv_auc,Area under the HV-over-generations curve,analysis script
raw_area_power_front_count,Nondominated raw area-power front points,candidate PPA table
active_objective_front_count,Nondominated active-objective PPA front points,candidate PPA table
unique_front_netlists,Canonical unique netlists among front candidates,family audit
unique_front_families,Canonical unique implementation families among front candidates,family audit
archive_coverage,Fraction of archive cells with at least one elite,archive artifacts
archive_qd_score,Sum of elite quality across occupied archive cells,archive artifacts
runtime_seconds,Wall-clock runtime,run logs
small_n_validity,Whether classic denominator is below 10,claim gate script
