seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
all,all,code_thought_full_pareto_qd,T52 code-thought full-Pareto QD,13,13,624,593,259,254,0.415064,0.407051,0.242261,0.083502,0.055792,24,41,76,0.076734,0.006602,0.284856,0.822737,76.000000,24.000000,0.542623,0.108173,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
all,RTLLM,code_thought_full_pareto_qd,T52 code-thought full-Pareto QD,7,7,336,311,171,166,0.508929,0.494048,0.292375,0.098202,0.075197,13,32,51,0.081428,0.007880,0.287946,1.356465,51.000000,13.000000,0.903254,0.114583,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
all,VerilogEval-Spec-to-RTL,code_thought_full_pareto_qd,T52 code-thought full-Pareto QD,6,6,288,282,88,88,0.305556,0.305556,0.183794,0.066351,0.033154,11,9,25,0.071259,0.005111,0.281250,0.200055,25.000000,11.000000,0.121888,0.100695,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
1001,all,code_thought_full_pareto_qd,T52 code-thought full-Pareto QD,13,13,624,593,259,254,0.415064,0.407051,0.242261,0.083502,0.055792,24,41,76,0.076734,0.006602,0.284856,0.822737,76.000000,24.000000,0.542623,0.108173,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
1001,RTLLM,code_thought_full_pareto_qd,T52 code-thought full-Pareto QD,7,7,336,311,171,166,0.508929,0.494048,0.292375,0.098202,0.075197,13,32,51,0.081428,0.007880,0.287946,1.356465,51.000000,13.000000,0.903254,0.114583,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
1001,VerilogEval-Spec-to-RTL,code_thought_full_pareto_qd,T52 code-thought full-Pareto QD,6,6,288,282,88,88,0.305556,0.305556,0.183794,0.066351,0.033154,11,9,25,0.071259,0.005111,0.281250,0.200055,25.000000,11.000000,0.121888,0.100695,0.000000,0.000000
