package,method,label,problem_count,total_generated,valid_ppa_count,mean_global_ppa_hypervolume,mean_hv_auc,mean_best_score,total_ppa_front_points,total_unique_ppa_points,total_reference_beating_count
classic,classic_revolution,Classic,13,624,257,0.092601,0.082020,0.227928,30,87,46
t47,sr_raw_conservative_exploit_qd,T47 exact T26 QD,13,624,217,0.085585,0.060301,0.284762,28,79,32
t48,t26_gated_near_front_fusion_qd,T48 gated near-front QD,13,624,221,0.089694,0.075826,0.251623,25,71,32
t49,thought_k_role_separated_repair_qd,T49 thought repair QD,13,465,231,0.086897,0.083147,0.295131,20,76,40
t51,code_thought_front_slot_qd,T51 code-thought front-slot QD,13,624,266,0.089252,0.085454,0.293480,21,75,43
t52,code_thought_full_pareto_qd,T52 code-thought full-Pareto QD,13,624,254,0.083502,0.055792,0.242261,24,76,41
