corpus,benchmark,problem,candidate_id,rtl_path,yosys_returncode,aig_path,aig_bytes,yosys_error,aig_header,aig_latches,parse_status,node_count,edge_count
rtllm_gen20,RTLLM,Prob001_accu,d68314ae-23e8-464f-8760-77c18a310bf3,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample10_initial/code.sv,1,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/00_d68314ae-23e8-464f-8760-77c18a310bf3.aag,0,ERROR: Unsupported cell type: $_DFFE_PN0P_ ($auto$ff.cc:266:slice$160),,,not_exported,,
rtllm_gen20,RTLLM,Prob001_accu,5aa56c67-25dc-4d2d-b61f-6be20024fbf7,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample9_initial/code.sv,1,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/01_5aa56c67-25dc-4d2d-b61f-6be20024fbf7.aag,0,ERROR: Unsupported cell type: $_DFFE_PN0P_ ($auto$ff.cc:266:slice$125),,,not_exported,,
rtllm_gen20,RTLLM,Prob001_accu,d8913b62-8c8d-4123-9434-66d447c2c35f,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample5_M-R/code.sv,1,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/02_d8913b62-8c8d-4123-9434-66d447c2c35f.aag,0,ERROR: Unsupported cell type: $_DFFE_PN0P_ ($auto$ff.cc:266:slice$125),,,not_exported,,
auto_bd_standard_results,RTLLM,Prob004_adder_8bit,682fa792-c8a4-4ca0-a9fa-70c1b0fa883a,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample10_M-R/code.sv,0,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/03_682fa792-c8a4-4ca0-a9fa-70c1b0fa883a.aag,1319,Warning: Treating undriven bit adder_8bit.\a [0] like $anyseq. Warning: Treating undriven bit adder_8bit.\a [1] like $anyseq. Warning: Treating undriven bit adder_8bit.\a [2] like $anyseq. Warning: Treating undriven bit adder_8bit.\a [3] li,aag 105 17 0 9 88,0,parsed_latch_free,178,241
auto_bd_standard_results,RTLLM,Prob004_adder_8bit,52d88106-fa05-4a80-86e0-c32de165458c,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample11_M-I/code.sv,0,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/04_52d88106-fa05-4a80-86e0-c32de165458c.aag,1319,Warning: Treating undriven bit adder_8bit.\cin like $anyseq. Warning: Treating a total of 1 undriven bits in adder_8bit like $anyseq.,aag 105 17 0 9 88,0,parsed_latch_free,178,241
auto_bd_standard_results,RTLLM,Prob004_adder_8bit,d8ac4d9c-41bb-445c-8ef8-83e2ae4a3d32,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample12_M-S/code.sv,0,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/05_d8ac4d9c-41bb-445c-8ef8-83e2ae4a3d32.aag,1319,Warning: Treating undriven bit adder_8bit.\cin like $anyseq. Warning: Treating a total of 1 undriven bits in adder_8bit like $anyseq.,aag 105 17 0 9 88,0,parsed_latch_free,178,241
auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,4c5ed487-62f2-49f7-9344-7238fab7035b,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7/Gen0/Prob098_circuit7_sample10_initial/code.sv,0,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/06_4c5ed487-62f2-49f7-9344-7238fab7035b.aag,137,,aag 3 2 1 1 0,1,rejected_latches_present,,
auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,40d47b53-7638-4d5d-95a5-a9ca73a32808,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7/Gen0/Prob098_circuit7_sample12_initial/code.sv,0,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/07_40d47b53-7638-4d5d-95a5-a9ca73a32808.aag,141,,aag 3 2 1 1 0,1,rejected_latches_present,,
auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,00c7ec83-219e-46f7-b227-ea81e5652553,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7/Gen0/Prob098_circuit7_sample13_initial/code.sv,0,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/08_00c7ec83-219e-46f7-b227-ea81e5652553.aag,137,,aag 3 2 1 1 0,1,rejected_latches_present,,
aspdac2026_release,RTLLM,Prob001_accu,dc3822c5-88fc-4cb7-a5dc-174a4b777322,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample1.sv,1,exp/diversity_check/deepgate3_aig_probe_20260621_034421_UTC/aig/09_dc3822c5-88fc-4cb7-a5dc-174a4b777322.aag,0,ERROR: Unsupported cell type: $_DFFE_PN0P_ ($auto$ff.cc:266:slice$139),,,not_exported,,
