backend,problem,circuit_type,hv_final,hv_auc
S07_capacity3,Prob001_accu,sequential,0,0
S07_capacity3,Prob002_adder_16bit,combinational,0.205114234284,0.205114234284
S07_capacity3,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
S07_capacity3,Prob004_adder_8bit,combinational,0.151026289181,0.135923660262
S07_capacity3,Prob005_adder_bcd,combinational,0.198189845475,0.198189845475
S07_capacity3,Prob007_comparator_3bit,combinational,0.058316843557,0.0524851592013
S07_capacity3,Prob008_comparator_4bit,combinational,0.361618181818,0.346469696969
S07_capacity3,Prob009_div_16bit,combinational,0.713642029957,0.701684490647
S07_capacity3,Prob011_multi_16bit,sequential,0.0203092591392,0.00288852969349
S07_capacity3,Prob012_multi_8bit,combinational,0.38656854576,0.350552623206
S07_capacity3,Prob015_multi_pipe_8bit,sequential,0.00122971128806,0.00110674015925
S07_capacity3,Prob019_sub_64bit,combinational,0.445122492692,0.133536747807
S07_capacity3,Prob020_JC_counter,sequential,0,0
S07_capacity3,Prob021_counter_12,sequential,0.00154077490526,0.000830737279336
S07_capacity3,Prob023_up_down_counter,sequential,0.00939486973007,0.00469743486504
S07_capacity3,Prob024_fsm,combinational,0.21532686894,0.115095401939
S07_capacity3,Prob025_sequence_detector,sequential,0,0
S07_capacity3,Prob027_LIFObuffer,sequential,0.0121814366432,0.00935435602301
S07_capacity3,Prob029_barrel_shifter,combinational,0.0170574712643,0.011940229885
S07_capacity3,Prob030_right_shifter,sequential,0,0
S07_capacity3,Prob031_freq_div,combinational,0.0835529061103,0.0769907600596
S07_capacity3,Prob035_calendar,sequential,0,0
S07_capacity3,Prob036_edge_detect,sequential,0.00681442167511,0.00477009517258
S07_capacity3,Prob037_parallel2serial,sequential,0.000127544763306,8.92813343144e-05
S07_capacity3,Prob039_serial2parallel,sequential,0,0
S07_capacity3,Prob041_traffic_light,combinational,0.425904139434,0.301106899056
S07_capacity3,Prob043_RAM,sequential,0.101413281101,0.0806250418316
S07_capacity3,Prob044_ROM,combinational,0,0
S07_capacity3,Prob045_alu,combinational,0.205035048295,0.194210024838
S07_capacity3,Prob047_instr_reg,sequential,0,0
S07_capacity3,Prob048_pe,sequential,0,0
S07_capacity3,Prob049_signal_generator,sequential,0.0169801664959,0.0103584737134
S07_capacity3,Prob050_square_wave,sequential,0.00203682581066,0.00149292617111
classic,Prob001_accu,sequential,0,0
classic,Prob002_adder_16bit,combinational,0.205114234284,0.205114234284
classic,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
