feature,coefficient
ff_depth,-0.17400665644882246
rent_r2,-0.12549590010554196
sequential_cells,-0.12156010067304121
math_op_ast_count,-0.10439038530770416
fsm_state_count_est,0.09147822384378805
resource_sharing_ratio_est,0.08584381069123342
scoap_signal_smoothness,0.08185707534249463
log_max_level,-0.07321245590569715
if_count,-0.0691391437928706
ternary_count,0.06218194187125371
share_family_inv,0.058785523721164586
rent_sample_count,0.058003911963468
hyper_mean_fanout,0.057844151457622776
rent_confidence,-0.05769259957673891
for_count,0.055011571215032536
rent_clamped_flag,0.04969701782294858
operator_mix_score,0.04958290438989687
arithmetic_cells,-0.049188274302685124
mux_ratio,-0.04715129602797064
rent_raw_sample_count,0.0456956153596124
wire_count_log_est,-0.043311810548901604
hyper_fanout_entropy,-0.04209701488211261
cell_count_log,-0.041058956838358564
state_control_ratio,-0.036937626794344196
ctrl_depth_est,-0.03661412560306444
comb_width_log,0.035052056992725254
rent_exponent,-0.03477631973624147
log_net_count,-0.03473774090923583
hyper_driven_net_count,-0.033920244914954094
hyper_net_count,-0.03392024491495404
hyper_sink_net_count,-0.033585638794292064
scoap_co_bin_2_pct,0.03239428519300099
arith_count,-0.03233521620501212
shift_op_count,-0.032251173467514334
scoap_co_bin_3_pct,-0.03219865466144645
compare_count,0.03150902961583935
combinational_cells,0.030458389931368016
seq_ratio,0.030247516991246448
comb_ratio,-0.030247516991246424
hyper_max_level_delta,-0.028189098862887365
scoap_cc0_bin_3_pct,0.02810061921577609
reconv_sink_ratio,0.02719833013454724
sog_entropy,0.02686306446059902
scoap_cc0_bin_0_pct,-0.0265433528197426
scoap_cc1_bin_0_pct,-0.026543352819742596
hyper_max_level,-0.026238245494893606
rent_k,-0.02619545819028315
max_rhs_operator_count,0.025794980301831583
rent_graph_node_count,0.02528912865119465
hyper_cell_count,0.025289128651194568
scoap_cc1_bin_2_pct,0.02476103068434632
log_node_count,0.024496385300719584
rtl_line_count,-0.024152031848920525
max_identifier_fanout,0.022756306700632382
ast_depth_est,-0.02254538338482104
hyper_max_fanout,0.02141091061129464
adder_ratio,-0.020894757673437656
logic_op_count,0.019767637971675432
rtl_char_count,-0.019715639422532568
rent_retained_sample_ratio,0.019177552927198645
log_edge_count,0.018114698019165622
pipeline_event_count,-0.01787137773053451
rtl_nonempty_line_count,-0.017148953886362926
timing_risk_score,0.016252297949321603
unique_identifier_count,0.016026719715049174
reconv_source_ratio,-0.015513662024460546
scoap_cc1_bin_1_pct,0.014475387047671848
mux_cells,0.014338829520886623
scoap_cc0_bin_2_pct,-0.013936317142952815
logic_depth_ltp_delta,-0.013551988306379322
scoap_co_bin_0_pct,0.012194351635951277
case_count,0.010714990816096384
logic_depth,0.010280764606296214
logic_depth_ltp,0.010081556373036121
laplacian_spectral_entropy,-0.009459025340215432
edge_per_node,-0.0088463825333034
laplacian_lambda2,-0.00834617388996961
control_pipeline_ratio,0.007476833945736516
scoap_cc0_bin_1_pct,0.007404805526941219
sog_complexity_score,0.007365899303297016
scoap_cc1_bin_3_pct,-0.0073247559393178185
assign_count,-0.005892473432155213
control_count,0.0057698643285906326
rtl_cyclomatic_max_log,-0.004874888276078168
hyper_directed_edge_count,0.004330353062024615
mul_count,-0.00396493377578292
rent_exponent_confidence_gated,0.003253035292698401
always_count,0.002616604299061062
wire_cell_ratio_est,-0.002549635279467655
scoap_co_bin_1_pct,-0.0021095170033061154
rtl_cyclomatic_total_log,0.002016991627812334
total_cells,-0.0016845105825922567
timing_risk_entropy,-0.0012022038203049062
ltp_noff,0.0
rtl_instance_count_est,0.0
utilization,0.0
