method_name,metric,scalar_cell_elite,bounded_local_pareto,delta,relative_delta
classic_revolution,mean_hypervolume,0.12448470080563463,0.12448470080563463,0.0,0.0
classic_revolution,mean_best_fitness,0.2670645637361175,0.2670645637361175,0.0,0.0
classic_revolution,retained_candidate_count,12.0,30.0,18.0,1.5
classic_revolution,global_pareto_point_count,6.0,17.0,11.0,1.8333333333333333
classic_revolution,ppa_grid_occupied_cells,7.0,7.0,0.0,0.0
classic_revolution,ppa_front_unique_netlist_count,6.0,10.0,4.0,0.6666666666666666
classic_revolution,unique_canonical_netlist_count,12.0,22.0,10.0,0.8333333333333334
classic_revolution,unique_motif_signature_count,12.0,18.0,6.0,0.5
landing_smooth_qd_manual_bd,mean_hypervolume,0.10587947006217442,0.10587947006217442,0.0,0.0
landing_smooth_qd_manual_bd,mean_best_fitness,0.2270711658003194,0.2270711658003194,0.0,0.0
landing_smooth_qd_manual_bd,retained_candidate_count,9.0,24.0,15.0,1.6666666666666667
landing_smooth_qd_manual_bd,global_pareto_point_count,7.0,18.0,11.0,1.5714285714285714
landing_smooth_qd_manual_bd,ppa_grid_occupied_cells,8.0,9.0,1.0,0.125
landing_smooth_qd_manual_bd,ppa_front_unique_netlist_count,7.0,11.0,4.0,0.5714285714285714
landing_smooth_qd_manual_bd,unique_canonical_netlist_count,9.0,15.0,6.0,0.6666666666666666
landing_smooth_qd_manual_bd,unique_motif_signature_count,9.0,13.0,4.0,0.4444444444444444
random_descriptor_qd,mean_hypervolume,0.11742144243911228,0.11749597097664195,7.452853752967781e-05,0.0006347097768648502
random_descriptor_qd,mean_best_fitness,0.26452573526608236,0.26452573526608236,0.0,0.0
random_descriptor_qd,retained_candidate_count,8.0,21.0,13.0,1.625
random_descriptor_qd,global_pareto_point_count,6.0,18.0,12.0,2.0
random_descriptor_qd,ppa_grid_occupied_cells,7.0,7.0,0.0,0.0
random_descriptor_qd,ppa_front_unique_netlist_count,6.0,13.0,7.0,1.1666666666666667
random_descriptor_qd,unique_canonical_netlist_count,8.0,15.0,7.0,0.875
