method_name,problem_id,retention_mode,source_valid_ppa,retained_candidate_count,retained_fraction,occupied_cells,mean_front_size,max_front_size,hypervolume,global_pareto_point_count,best_fitness,ppa_grid_occupied_cells,ppa_grid_total_cells,ppa_grid_coverage,unique_canonical_netlist_count,duplicate_netlist_count,unique_motif_signature_count,ppa_front_unique_netlist_count
classic_revolution,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,44,3,0.06818181818181818,3,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,3,0,3,1
classic_revolution,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,44,12,0.2727272727272727,3,4.0,4,0.0,4,0.04155040525406675,1,64,0.015625,10,2,8,2
landing_smooth_qd_manual_bd,RTLLM/Prob011_multi_16bit,scalar_cell_elite,27,2,0.07407407407407407,2,1.0,1,0.0,2,0.15328258385427165,2,64,0.03125,2,0,2,2
landing_smooth_qd_manual_bd,RTLLM/Prob011_multi_16bit,bounded_local_pareto,27,5,0.18518518518518517,2,2.5,4,0.0,4,0.15328258385427165,3,64,0.046875,5,0,5,4
landing_smooth_qd_manual_bd,RTLLM/Prob019_sub_64bit,scalar_cell_elite,45,3,0.06666666666666667,3,1.0,1,0.3628333958694871,1,0.452712179958205,2,16,0.125,3,0,3,1
landing_smooth_qd_manual_bd,RTLLM/Prob019_sub_64bit,bounded_local_pareto,45,6,0.13333333333333333,3,2.0,4,0.3628333958694871,1,0.452712179958205,2,16,0.125,4,2,3,1
landing_smooth_qd_manual_bd,RTLLM/Prob048_pe,scalar_cell_elite,24,1,0.041666666666666664,1,1.0,1,0.0,1,0.006579168080201192,1,64,0.015625,1,0,1,1
landing_smooth_qd_manual_bd,RTLLM/Prob048_pe,bounded_local_pareto,24,4,0.16666666666666666,1,4.0,4,0.0,4,0.006579168080201192,1,64,0.015625,2,2,2,2
landing_smooth_qd_manual_bd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,38,1,0.02631578947368421,1,1.0,1,0.2724434245035594,1,0.4231863785854045,1,16,0.0625,1,0,1,1
landing_smooth_qd_manual_bd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,38,4,0.10526315789473684,1,4.0,4,0.2724434245035594,4,0.4231863785854045,1,16,0.0625,1,3,1,1
