backend,benchmark,problem,functionality_rate,synthesis_rate,best_score,runtime_seconds,qd_archive_type,qd_coverage,qd_score,qd_best_quality
classic,RTLLM,Prob004_adder_8bit,0.6041666666666666,0.5833333333333334,0.38154412826809186,716.6967158317566,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,0.2708333333333333,0.2708333333333333,0.13523010594862098,1055.4246017932892,,,,
classic,RTLLM,Prob024_fsm,0.3958333333333333,0.3333333333333333,0.5002335522886039,793.0398881435394,,,,
classic,RTLLM,Prob037_parallel2serial,0.4375,0.375,0.08458997628975556,973.4737317562103,,,,
classic,RTLLM,Prob041_traffic_light,0.4375,0.4166666666666667,0.41677862503025903,1073.815232515335,,,,
classic,RTLLM,Prob045_alu,0.22916666666666666,0.20833333333333334,0.39459576844733557,1086.16388463974,,,,
classic,RTLLM,Prob049_signal_generator,0.3541666666666667,0.3541666666666667,0.23477469440256318,623.4530344009399,,,,
classic,VerilogEval-Spec-to-RTL,Prob098_circuit7,0.7083333333333334,0.7083333333333334,0.01200564971751411,1094.58634018898,,,,
classic,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.5833333333333334,0.5833333333333334,0.46440414507772027,1336.204946756363,,,,
classic,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.7708333333333334,0.7708333333333334,0.2636173393124066,1119.4714574813843,,,,
classic,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,0.4375,0.4375,0.32968627450980387,1038.766685962677,,,,
classic,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,0.041666666666666664,0.041666666666666664,-0.3630480257997037,1216.898421049118,,,,
classic,VerilogEval-Spec-to-RTL,Prob153_gshare,0.2708333333333333,0.2708333333333333,0.10864727995578838,762.3643352985382,,,,
fused_rtl_state_pipeline_qd,RTLLM,Prob004_adder_8bit,0.7083333333333334,0.7083333333333334,0.38154412826809186,541.8025517463684,grid_quantile,0.5,0.38154412826809186,0.38154412826809186
fused_rtl_state_pipeline_qd,RTLLM,Prob015_multi_pipe_8bit,0.2708333333333333,0.2708333333333333,0.05279453299055512,1017.0008335113525,grid_quantile,0.3125,0.004687665712164675,0.05279453299055512
fused_rtl_state_pipeline_qd,RTLLM,Prob024_fsm,0.5625,0.5208333333333334,0.5002335522886039,897.7269077301025,grid_quantile,0.375,2.2880127202585756,0.5002335522886039
fused_rtl_state_pipeline_qd,RTLLM,Prob037_parallel2serial,0.3541666666666667,0.3541666666666667,0.03256479437494896,1230.4777448177338,grid_quantile,0.25,0.051577140053961315,0.03256479437494896
fused_rtl_state_pipeline_qd,RTLLM,Prob041_traffic_light,0.5,0.5,0.4077420721374969,1147.8014953136444,grid_quantile,0.5,1.967246429435972,0.4077420721374969
fused_rtl_state_pipeline_qd,RTLLM,Prob045_alu,0.3958333333333333,0.3958333333333333,0.4030977725211906,1149.2006981372833,grid_quantile,0.4375,2.6968352059925094,0.4030977725211906
fused_rtl_state_pipeline_qd,RTLLM,Prob049_signal_generator,0.7916666666666666,0.7916666666666666,0.23477469440256318,634.8927752971649,grid_quantile,0.75,0.7043240832076896,0.23477469440256318
fused_rtl_state_pipeline_qd,VerilogEval-Spec-to-RTL,Prob098_circuit7,0.3333333333333333,0.3333333333333333,0.01200564971751411,1367.410772562027,grid_quantile,1.0,0.01200564971751411,0.01200564971751411
fused_rtl_state_pipeline_qd,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.375,0.375,0.46535233160621764,1422.641426563263,grid_quantile,1.0,0.46535233160621764,0.46535233160621764
fused_rtl_state_pipeline_qd,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.5208333333333334,0.5208333333333334,0.2636173393124066,1124.0134751796722,grid_quantile,1.0,0.2636173393124066,0.2636173393124066
fused_rtl_state_pipeline_qd,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,0.125,0.125,0.32968627450980387,1182.2052915096283,grid_quantile,1.0,0.32968627450980387,0.32968627450980387
fused_rtl_state_pipeline_qd,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,0.0625,0.0625,,1226.2922229766846,grid_quantile,0.0,0.0,
fused_rtl_state_pipeline_qd,VerilogEval-Spec-to-RTL,Prob153_gshare,0.4166666666666667,0.3958333333333333,0.13560291914358902,1121.8074147701263,grid_quantile,0.5,0.3873462311906247,0.13560291914358902
