backend,benchmark,problem,circuit_type,search_mode,archive_type,descriptor_profile,generation,generation_views_available,source,candidate_id,strategy,score,quality_score,color_score,origin_pool,generated_mode,decision,inserted,replaced,cell_id,is_final_elite,area,power,eff_clk_period,tns,wns,g_A,g_P,g_T,report_path,candidate_dir,code_file_path,metrics_json_path,qd_event_path,vcd_file_path,has_qd_event,has_metrics_json,has_code_file,has_vcd_file,has_structural_metrics,has_rtl_metrics,has_graph_metrics,has_dynamic_metrics,has_physical_metrics,warning_messages,adder_ratio,arithmetic_cells,cell_count_log,comb_ratio,comb_width_log,combinational_cells,edge_per_node,ff_depth,hyper_cell_count,hyper_directed_edge_count,hyper_driven_net_count,hyper_fanout_entropy,hyper_max_fanout,hyper_max_level,hyper_max_level_delta,hyper_mean_fanout,hyper_net_count,hyper_sink_net_count,laplacian_lambda2,laplacian_spectral_entropy,log_edge_count,log_max_level,log_net_count,log_node_count,logic_depth,logic_depth_ltp,logic_depth_ltp_delta,ltp_noff,mux_cells,mux_ratio,reconv_sink_ratio,reconv_source_ratio,rent_clamped_flag,rent_confidence,rent_exponent,rent_exponent_confidence_gated,rent_graph_node_count,rent_k,rent_r2,rent_raw_sample_count,rent_retained_sample_ratio,rent_sample_count,scoap_cc0_bin_0_pct,scoap_cc0_bin_1_pct,scoap_cc0_bin_2_pct,scoap_cc0_bin_3_pct,scoap_cc1_bin_0_pct,scoap_cc1_bin_1_pct,scoap_cc1_bin_2_pct,scoap_cc1_bin_3_pct,scoap_co_bin_0_pct,scoap_co_bin_1_pct,scoap_co_bin_2_pct,scoap_co_bin_3_pct,scoap_signal_smoothness,seq_ratio,sequential_cells,share_family_inv,total_cells,utilization
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,e6636a17-0316-4456-851a-cdd38d9b6f6e,initial,0.027172138886517743,,0.027172138886517743,,,,False,False,,False,623.0,0.0911,1.04,-15.17,-1.03,0.36428571428571427,-0.0144766146993318,-0.26829268292682923,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,58d546ab-f90b-4035-bce2-d2af7adb9cf6,initial,-0.13887478507074508,,-0.13887478507074508,,,,False,False,,False,775.0,0.123,1.03,-20.88,-1.02,0.20918367346938777,-0.3697104677060133,-0.2560975609756097,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,0dbc2cdc-7dd4-4d94-b190-9e95ac4be05d,initial,-0.05732856562691346,,-0.05732856562691346,,,,False,False,,False,687.0,0.108,1.04,-17.16,-1.03,0.29897959183673467,-0.2026726057906458,-0.26829268292682923,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,1dbe2a57-4107-42fe-a156-2bcfda24121d,initial,-0.07596036839419344,,-0.07596036839419344,,,,False,False,,False,708.0,0.11,1.05,-17.1,-1.04,0.27755102040816326,-0.22494432071269482,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,09035a15-c8f1-4f39-a564-6e8be88a9288,M-I,-0.07596036839419344,,-0.07596036839419344,,,,False,False,,False,708.0,0.11,1.05,-17.1,-1.04,0.27755102040816326,-0.22494432071269482,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,89ef7964-68fc-4a70-9090-385009bc3b43,M-I,-0.26466282205206487,,-0.26466282205206487,,,,False,False,,False,1017.0,0.115,1.21,-31.63,-1.2,-0.03775510204081633,-0.2806236080178174,-0.47560975609756084,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,df9e9125-e46c-4c55-a058-9164233fc250,M-R,-0.027547953289632377,,-0.027547953289632377,,,,False,False,,False,667.0,0.104,1.02,-17.11,-1.01,0.3193877551020408,-0.15812917594654777,-0.24390243902439018,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,aa5a78a2-464d-4c95-9288-f1cf822cf544,M-R,-0.5245123558685246,,-0.5245123558685246,,,,False,False,,False,1441.0,0.225,0.49,-42.65,-0.48,-0.4704081632653061,-1.505567928730512,0.402439024390244,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,8e89acb8-3fcd-4e2f-836b-a586a769ddb7,M-R,0.14553606765102697,,0.14553606765102697,,,,False,False,,False,720.0,0.0558,0.99,-13.96,-0.98,0.2653061224489796,0.37861915367483295,-0.20731707317073161,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,87d0499c-550d-4a5e-ada7-159508fed977,M-E,-0.6479443284728742,,-0.6479443284728742,,,,False,False,,False,1449.0,0.217,0.86,-48.09,-0.85,-0.4785714285714286,-1.416481069042316,-0.04878048780487795,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,33dd7ba2-8d60-4f3b-a6f3-fd9dc209002e,M-E,-0.22361064149707902,,-0.22361064149707902,,,,False,False,,False,1062.0,0.171,0.56,-33.34,-0.55,-0.0836734693877551,-0.9042316258351893,0.3170731707317073,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,c0e829da-bd1c-4422-976a-99a2b02305c5,M-S,0.04813035105943081,,0.04813035105943081,,,,False,False,,False,653.0,0.0838,1.03,-13.87,-1.02,0.3336734693877551,0.06681514476614706,-0.2560975609756097,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,b8e12254-cea8-49a6-a256-b57ebd833323,M-S,-0.04515934789364706,,-0.04515934789364706,,,,False,False,,False,685.0,0.106,1.03,-17.29,-1.02,0.3010204081632653,-0.18040089086859679,-0.2560975609756097,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,81abcac1-bd69-4abe-a944-4086479c0694,M-R,-0.10943634121582796,,-0.10943634121582796,,,,False,False,,False,716.0,0.115,1.08,-18.22,-1.07,0.2693877551020408,-0.2806236080178174,-0.3170731707317073,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,e19dd79d-ef57-4d64-be58-acd194abb92e,M-R,0.03347517832707536,,0.03347517832707536,,,,False,False,,False,649.0,0.0914,1.0,-15.51,-0.99,0.3377551020408163,-0.01781737193763909,-0.21951219512195114,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,2a0cadfd-e6a0-40fc-94ef-a5d5f9439b6d,M-E,0.07516895943015156,,0.07516895943015156,,,,False,False,,False,1049.0,0.0917,0.56,-29.97,-0.55,-0.07040816326530612,-0.021158129175946536,0.3170731707317073,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,d9848fa1-80c1-4215-8078-e037d4ab2847,M-E,-0.3169840025749014,,-0.3169840025749014,,,,False,False,,False,1256.0,0.151,0.81,-40.62,-0.8,-0.2816326530612245,-0.6815144766146992,0.012195121951219521,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,0600f578-e8d4-48a2-854b-cc569b470c29,M-R,-0.22361064149707902,,-0.22361064149707902,,,,False,False,,False,1062.0,0.171,0.56,-33.36,-0.55,-0.0836734693877551,-0.9042316258351893,0.3170731707317073,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,edebbde0-c2bd-42ef-935a-c2e28e26ede0,M-R,0.05279453299055512,,0.05279453299055512,,,,False,False,,False,600.0,0.0874,1.03,-15.36,-1.02,0.3877551020408163,0.026726057906458787,-0.2560975609756097,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob041_traffic_light,combinational,revolution,,,0,True,generation_log,4cf83702-893f-4b32-b7db-d3c3c4527ab4,initial,-0.01263616557734208,,-0.01263616557734208,,,,False,False,,False,167.0,0.0342,0.0,0.0,0.0,0.01764705882352941,-0.05555555555555565,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
