problem,valid_ppa_count,local_front_count,global_front_count,archive_member_count,occupied_cells,max_front_size,best_quality,global_pareto_size
Prob045_alu,18,3,3,13,9,2,0.402072475195,3
Prob041_traffic_light,15,3,3,10,7,2,0.40382050351,3
Prob015_multi_pipe_8bit,11,8,6,10,8,2,0.2222851659,6
