method,method_label,source_run_root,mode
classic_revolution,T43 Classic,exp/useful_bd_push/t43_staged_sparse_yield_gate_qd_20260622_102415_UTC,classic_revolution/seed_1001/openai_gpt-oss-120b
staged_sparse_yield_gate_qd,T43 staged gate,exp/useful_bd_push/t43_staged_sparse_yield_gate_qd_20260622_102415_UTC,staged_sparse_yield_gate_qd/seed_1001/openai_gpt-oss-120b
initial_sparse_yield_gate_qd,T42 initial gate,exp/useful_bd_push/t42_initial_sparse_yield_gate_qd_20260622_093940_UTC,initial_sparse_yield_gate_qd/seed_1001/openai_gpt-oss-120b
adaptive_sparse_yield_gate_qd,T41 adaptive gate,exp/useful_bd_push/t41_adaptive_sparse_yield_gate_qd_20260622_083629_UTC,adaptive_sparse_yield_gate_qd/seed_1001/openai_gpt-oss-120b
t39_sparse_warmup_elite_slot_qd,T39 one-slot,exp/useful_bd_push/t39_sparse_yield_warmup_qd_20260622_062937_UTC,sparse_warmup_elite_slot_qd/seed_1001/openai_gpt-oss-120b
