benchmark,best_fitness,budget_fraction,candidate_count,corpus,descriptor_family,funnel,mean_fitness,method,model,pareto_member_count,prefix_candidate_count,problem_id,seed,unique_canonical_netlists,unique_motif_signatures,unique_style_clusters
RTLLM,0.6273615342010523,0.5,94,aspdac2026_release,lexical_structural_posthoc,functional,0.3038015969231132,classic_revolution,deepseek-chat,5,105,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,3
RTLLM,0.6273615342010523,0.5,94,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.3038015969231132,classic_revolution,deepseek-chat,5,105,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,3
RTLLM,0.6273615342010523,0.5,94,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.3038015969231132,classic_revolution,deepseek-chat,5,105,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,3
RTLLM,0.6273615342010523,0.5,5,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.6273615342010523,classic_revolution,deepseek-chat,5,105,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,1
RTLLM,0.6273615342010523,0.75,158,aspdac2026_release,lexical_structural_posthoc,generated,0.3046290189210585,classic_revolution,deepseek-chat,17,158,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,5
RTLLM,0.6273615342010523,0.75,142,aspdac2026_release,lexical_structural_posthoc,functional,0.3046290189210585,classic_revolution,deepseek-chat,17,158,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,4
RTLLM,0.6273615342010523,0.75,142,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.3046290189210585,classic_revolution,deepseek-chat,17,158,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,4
RTLLM,0.6273615342010523,0.75,142,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.3046290189210585,classic_revolution,deepseek-chat,17,158,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,4
RTLLM,0.6273615342010523,0.75,17,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.6273615342010521,classic_revolution,deepseek-chat,17,158,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,1
RTLLM,0.6273615342010523,1.0,210,aspdac2026_release,lexical_structural_posthoc,generated,0.31516325576698523,classic_revolution,deepseek-chat,23,210,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,6
RTLLM,0.6273615342010523,1.0,181,aspdac2026_release,lexical_structural_posthoc,functional,0.31516325576698523,classic_revolution,deepseek-chat,23,210,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,5
RTLLM,0.6273615342010523,1.0,181,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.31516325576698523,classic_revolution,deepseek-chat,23,210,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,5
RTLLM,0.6273615342010523,1.0,181,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.31516325576698523,classic_revolution,deepseek-chat,23,210,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,5
RTLLM,0.6273615342010523,1.0,23,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.627361534201052,classic_revolution,deepseek-chat,23,210,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,0,0,0,1
RTLLM,0.8368315274494352,0.25,53,aspdac2026_release,lexical_structural_posthoc,generated,0.6726868218463962,classic_revolution,deepseek-chat,6,53,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,4
RTLLM,0.8368315274494352,0.25,26,aspdac2026_release,lexical_structural_posthoc,functional,0.6726868218463962,classic_revolution,deepseek-chat,6,53,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,3
RTLLM,0.8368315274494352,0.25,26,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.6726868218463962,classic_revolution,deepseek-chat,6,53,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,3
RTLLM,0.8368315274494352,0.25,26,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.6726868218463962,classic_revolution,deepseek-chat,6,53,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,3
RTLLM,0.8368315274494352,0.25,6,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.8368315274494352,classic_revolution,deepseek-chat,6,53,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,1
RTLLM,0.8368315274494352,0.5,105,aspdac2026_release,lexical_structural_posthoc,generated,0.7124795703015311,classic_revolution,deepseek-chat,22,105,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,6
RTLLM,0.8368315274494352,0.5,58,aspdac2026_release,lexical_structural_posthoc,functional,0.7124795703015311,classic_revolution,deepseek-chat,22,105,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,0.5,58,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.7124795703015311,classic_revolution,deepseek-chat,22,105,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,0.5,58,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.7124795703015311,classic_revolution,deepseek-chat,22,105,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,0.5,22,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.836831527449435,classic_revolution,deepseek-chat,22,105,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,1
RTLLM,0.8368315274494352,0.75,158,aspdac2026_release,lexical_structural_posthoc,generated,0.7138366351175387,classic_revolution,deepseek-chat,36,158,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,6
RTLLM,0.8368315274494352,0.75,93,aspdac2026_release,lexical_structural_posthoc,functional,0.7138366351175387,classic_revolution,deepseek-chat,36,158,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,0.75,93,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.7138366351175387,classic_revolution,deepseek-chat,36,158,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,0.75,93,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.7138366351175387,classic_revolution,deepseek-chat,36,158,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,0.75,36,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.8368315274494345,classic_revolution,deepseek-chat,36,158,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,1
RTLLM,0.8368315274494352,1.0,210,aspdac2026_release,lexical_structural_posthoc,generated,0.7242260977318198,classic_revolution,deepseek-chat,54,210,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,6
RTLLM,0.8368315274494352,1.0,123,aspdac2026_release,lexical_structural_posthoc,functional,0.7242260977318198,classic_revolution,deepseek-chat,54,210,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,1.0,123,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.7242260977318198,classic_revolution,deepseek-chat,54,210,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,1.0,123,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.7242260977318198,classic_revolution,deepseek-chat,54,210,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,5
RTLLM,0.8368315274494352,1.0,54,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.8368315274494342,classic_revolution,deepseek-chat,54,210,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,0,0,0,2
RTLLM,0.33143146034955945,0.25,53,aspdac2026_release,lexical_structural_posthoc,generated,0.058977321970244086,classic_revolution,deepseek-chat,4,53,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,4
RTLLM,0.33143146034955945,0.25,30,aspdac2026_release,lexical_structural_posthoc,functional,0.058977321970244086,classic_revolution,deepseek-chat,4,53,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,3
RTLLM,0.33143146034955945,0.25,30,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.058977321970244086,classic_revolution,deepseek-chat,4,53,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,3
RTLLM,0.33143146034955945,0.25,30,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.058977321970244086,classic_revolution,deepseek-chat,4,53,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,3
RTLLM,0.33143146034955945,0.25,4,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.33143146034955945,classic_revolution,deepseek-chat,4,53,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,1
RTLLM,0.33143146034955945,0.5,105,aspdac2026_release,lexical_structural_posthoc,generated,0.10754214729370008,classic_revolution,deepseek-chat,25,105,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,4
RTLLM,0.33143146034955945,0.5,70,aspdac2026_release,lexical_structural_posthoc,functional,0.10754214729370008,classic_revolution,deepseek-chat,25,105,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,3
RTLLM,0.33143146034955945,0.5,70,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.10754214729370008,classic_revolution,deepseek-chat,25,105,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,3
RTLLM,0.33143146034955945,0.5,70,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.10754214729370008,classic_revolution,deepseek-chat,25,105,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,3
RTLLM,0.33143146034955945,0.5,25,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.33143146034955956,classic_revolution,deepseek-chat,25,105,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,1
