budget_fraction,corpus,descriptor_family,funnel,mean_best_fitness,mean_candidate_count,mean_canonical_netlists,mean_motif_signatures,mean_pareto_members,mean_style_clusters,method,problem_group_count,total_candidate_count
0.25,aspdac2026_release,lexical_structural_posthoc,functional,0.11065574914100411,25.850728155339805,0.0,0.0,11.129854368932039,1.6468446601941749,classic_revolution,824,21301
0.25,aspdac2026_release,lexical_structural_posthoc,generated,0.11065574914100411,52.01092233009709,0.0,0.0,11.129854368932039,2.6140776699029127,classic_revolution,824,42857
0.25,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.12300338073596793,11.129854368932039,0.0,0.0,11.129854368932039,0.8871359223300971,classic_revolution,824,9171
0.25,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.11065574914100411,25.850728155339805,0.0,0.0,11.129854368932039,1.6468446601941749,classic_revolution,824,21301
0.25,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.11065574914100411,25.850728155339805,0.0,0.0,11.129854368932039,1.6468446601941749,classic_revolution,824,21301
0.5,aspdac2026_release,lexical_structural_posthoc,functional,0.15892857317535114,53.15169902912621,0.0,0.0,23.361650485436893,1.9235436893203883,classic_revolution,824,43797
0.5,aspdac2026_release,lexical_structural_posthoc,generated,0.15892857317535114,103.26092233009709,0.0,0.0,23.361650485436893,2.9101941747572817,classic_revolution,824,85087
0.5,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.16358257609267013,23.361650485436893,0.0,0.0,23.361650485436893,1.1735436893203883,classic_revolution,824,19250
0.5,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.15892857317535114,53.15169902912621,0.0,0.0,23.361650485436893,1.9235436893203883,classic_revolution,824,43797
0.5,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.15892857317535114,53.15169902912621,0.0,0.0,23.361650485436893,1.9235436893203883,classic_revolution,824,43797
0.75,aspdac2026_release,lexical_structural_posthoc,functional,0.18521950369021387,81.41383495145631,0.0,0.0,36.689320388349515,2.0800970873786406,classic_revolution,824,67085
0.75,aspdac2026_release,lexical_structural_posthoc,generated,0.18521950369021387,155.2609223300971,0.0,0.0,36.689320388349515,3.0740291262135924,classic_revolution,824,127935
0.75,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.18220972657236573,36.689320388349515,0.0,0.0,36.689320388349515,1.4004854368932038,classic_revolution,824,30232
0.75,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.18521950369021387,81.41383495145631,0.0,0.0,36.689320388349515,2.0800970873786406,classic_revolution,824,67085
