benchmark,problem,classic_hv,qd_hv,absolute_delta,classic_pareto_points,qd_pareto_points,classic_ref_beating,qd_ref_beating
RTLLM,Prob015_multi_pipe_8bit,0,0,0,8,3,0,0
RTLLM,Prob024_fsm,0.144729433844,0.145573975602,0.000844541757898,2,2,3,5
RTLLM,Prob041_traffic_light,0.310100217865,0.0988148148148,-0.21128540305,2,1,12,5
RTLLM,Prob045_alu,0.252356392667,0.246455083777,-0.0059013088902,4,1,34,16
RTLLM,Prob049_signal_generator,0.0191988404409,0.00683402432913,-0.0123648161118,2,1,4,1
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.398422797927,0.398422797927,0,1,1,6,3
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0,0.198618834081,0.198618834081,1,2,1,3
VerilogEval-Spec-to-RTL,Prob153_gshare,0.000350589733406,0.00080873977974,0.000458150046334,6,5,4,3
