seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1002,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,33,34,-1,-0.029412,pass
1002,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,29,34,-5,-0.147059,pass
1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,22,25,-3,-0.120000,pass
1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,19,25,-6,-0.240000,pass
1002,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,41,33,8,0.242424,pass
1002,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,37,33,4,0.121212,pass
1002,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,30,24,6,0.250000,pass
1002,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,25,24,1,0.041667,pass
1002,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,17,4,13,3.250000,small_n
1002,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,7,4,3,0.750000,small_n
1002,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,15,13,2,0.153846,pass
1002,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,10,13,-3,-0.230769,pass
