seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,success_parent_requests,two_parent_attempts,two_parent_fallbacks,two_parent_gate_attempts,two_parent_gate_accepts,two_parent_gate_rejects
1001,classic_revolution,Classic,RTLLM,Prob045_alu,48,47,11,10,0.979167,0.229167,0.208333,0.394596,0.190351,0.156081,1,9,9,0,0.000000,0.000000,,,,,,,,,,,,,
1001,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob045_alu,48,45,16,10,0.937500,0.333333,0.208333,0.387550,0.170208,0.170171,2,9,9,0,0.000996,0.000000,0.109375,2.644778,9,2,1.196672,0.049479,near_front_descriptor,15,2,2,0,0,0
1001,classic_revolution,Classic,RTLLM,Prob049_signal_generator,48,45,17,17,0.937500,0.354167,0.354167,0.234775,0.012810,0.009922,3,3,5,0,0.298225,0.003032,,,,,,,,,,,,,
1001,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob049_signal_generator,48,45,31,22,0.937500,0.645833,0.458333,0.234775,0.006834,0.006834,2,1,3,0,0.675320,0.001488,0.250000,0.286518,3,2,0.235910,0.208333,near_front_descriptor,36,3,2,1,1,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,48,34,34,1.000000,0.708333,0.708333,0.012006,0.000000,0.000000,1,1,2,0,0.000000,0.000000,,,,,,,,,,,,,
1001,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,47,23,23,0.979167,0.479167,0.479167,0.012006,0.000000,0.000000,1,1,2,0,0.000000,0.000000,0.074074,0.012006,2,1,0.010005,0.061728,near_front_descriptor,10,3,3,1,0,1
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,48,48,28,28,1.000000,0.583333,0.583333,0.464404,0.397461,0.397444,2,5,5,0,0.200002,0.000176,,,,,,,,,,,,,
1001,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,48,48,37,34,1.000000,0.770833,0.708333,0.465352,0.398423,0.298284,1,3,3,0,0.000000,0.000000,0.250000,0.862261,3,1,0.718551,0.208333,near_front_descriptor,32,3,1,2,2,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,48,47,37,37,0.979167,0.770833,0.770833,0.263617,0.000000,0.000000,1,0,3,0,0.000000,0.000000,,,,,,,,,,,,,
1001,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,48,46,36,27,0.958333,0.750000,0.562500,0.263617,0.000000,0.000000,1,0,3,0,0.000000,0.000000,1.000000,0.263617,3,1,0.032952,0.125000,near_front_descriptor,23,1,1,0,0,0
