model,benchmark_name,init_func_pass_rate,final_func_pass_rate,init_func_any_pass_rate,final_func_any_pass_rate,area_improvement_percentage_compared_to_ref,power_improvement_percentage_compared_to_ref,eff_clk_improvement_percentage_compared_to_ref,avg_runtime_seconds
gpt-4.1-mini_clean_results,RTLLM,0.5360,0.5593,0.7000,0.8600,26.4484,44.2103,15.2643,1165.0432
gpt-4.1-mini_clean_results,RTLLM/Prob001_accu,1.0000,0.7000,1.0000,1.0000,-31.41,42.09,12.07,713.97
gpt-4.1-mini_clean_results,RTLLM/Prob002_adder_16bit,0.9000,0.9524,1.0000,1.0000,20.65,99.32,N/A,1042.84
gpt-4.1-mini_clean_results,RTLLM/Prob003_adder_32bit,0.8000,0.7857,1.0000,1.0000,67.61,99.75,N/A,1787.77
gpt-4.1-mini_clean_results,RTLLM/Prob004_adder_8bit,0.1000,0.7476,1.0000,1.0000,N/A,N/A,N/A,923.06
gpt-4.1-mini_clean_results,RTLLM/Prob005_adder_bcd,1.0000,0.8238,1.0000,1.0000,N/A,N/A,N/A,799.24
gpt-4.1-mini_clean_results,RTLLM/Prob006_adder_pipe_64bit,0.0000,0.0762,0.0000,1.0000,N/A,N/A,N/A,1199.39
gpt-4.1-mini_clean_results,RTLLM/Prob007_comparator_3bit,1.0000,0.9857,1.0000,1.0000,N/A,N/A,N/A,617.27
gpt-4.1-mini_clean_results,RTLLM/Prob008_comparator_4bit,0.8000,0.9381,1.0000,1.0000,N/A,N/A,N/A,764.04
gpt-4.1-mini_clean_results,RTLLM/Prob009_div_16bit,0.0000,0.5000,0.0000,1.0000,77.97,78.95,N/A,987.36
gpt-4.1-mini_clean_results,RTLLM/Prob010_radix2_div,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1636.05
gpt-4.1-mini_clean_results,RTLLM/Prob011_multi_16bit,0.8000,0.6000,1.0000,1.0000,47.84,24.44,53.45,1165.11
gpt-4.1-mini_clean_results,RTLLM/Prob012_multi_8bit,1.0000,0.7667,1.0000,1.0000,35.57,54.18,N/A,830.13
gpt-4.1-mini_clean_results,RTLLM/Prob013_multi_booth_8bit,0.8000,0.3381,1.0000,1.0000,N/A,N/A,N/A,1449.86
gpt-4.1-mini_clean_results,RTLLM/Prob014_multi_pipe_4bit,1.0000,0.6667,1.0000,1.0000,N/A,N/A,N/A,988.61
gpt-4.1-mini_clean_results,RTLLM/Prob015_multi_pipe_8bit,0.6000,0.6333,1.0000,1.0000,33.78,-1.67,-20.73,1358.60
gpt-4.1-mini_clean_results,RTLLM/Prob016_fixed_point_adder,0.8000,0.9619,1.0000,1.0000,N/A,N/A,N/A,1015.54
gpt-4.1-mini_clean_results,RTLLM/Prob017_fixed_point_substractor,0.8000,0.9095,1.0000,1.0000,N/A,N/A,N/A,1350.44
gpt-4.1-mini_clean_results,RTLLM/Prob018_float_multi,0.1000,0.3476,1.0000,1.0000,N/A,N/A,N/A,2302.80
gpt-4.1-mini_clean_results,RTLLM/Prob019_sub_64bit,1.0000,0.8762,1.0000,1.0000,45.09,45.15,N/A,1347.20
gpt-4.1-mini_clean_results,RTLLM/Prob020_JC_counter,1.0000,0.8143,1.0000,1.0000,0.00,0.00,0.00,583.78
gpt-4.1-mini_clean_results,RTLLM/Prob021_counter_12,1.0000,0.9714,1.0000,1.0000,N/A,N/A,N/A,641.20
gpt-4.1-mini_clean_results,RTLLM/Prob022_ring_counter,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,424.69
gpt-4.1-mini_clean_results,RTLLM/Prob023_up_down_counter,1.0000,0.9381,1.0000,1.0000,11.20,11.17,7.41,631.58
gpt-4.1-mini_clean_results,RTLLM/Prob024_fsm,0.7000,0.6000,1.0000,1.0000,N/A,N/A,N/A,838.61
gpt-4.1-mini_clean_results,RTLLM/Prob025_sequence_detector,0.0000,0.1000,0.0000,1.0000,N/A,N/A,N/A,693.72
gpt-4.1-mini_clean_results,RTLLM/Prob026_asyn_fifo,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1378.51
gpt-4.1-mini_clean_results,RTLLM/Prob027_LIFObuffer,0.4000,0.8286,1.0000,1.0000,21.74,45.11,12.82,941.71
gpt-4.1-mini_clean_results,RTLLM/Prob028_LFSR,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,648.59
gpt-4.1-mini_clean_results,RTLLM/Prob029_barrel_shifter,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,707.98
gpt-4.1-mini_clean_results,RTLLM/Prob030_right_shifter,1.0000,0.9238,1.0000,1.0000,N/A,N/A,N/A,516.74
gpt-4.1-mini_clean_results,RTLLM/Prob031_freq_div,1.0000,0.7190,1.0000,1.0000,N/A,N/A,N/A,834.78
gpt-4.1-mini_clean_results,RTLLM/Prob032_freq_divbyeven,0.0000,0.0095,0.0000,1.0000,N/A,N/A,N/A,504.73
gpt-4.1-mini_clean_results,RTLLM/Prob033_freq_divbyfrac,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,840.91
gpt-4.1-mini_clean_results,RTLLM/Prob034_freq_divbyodd,0.0000,0.0667,0.0000,1.0000,N/A,N/A,N/A,706.80
gpt-4.1-mini_clean_results,RTLLM/Prob035_calendar,1.0000,0.9762,1.0000,1.0000,9.18,5.65,-5.26,824.60
gpt-4.1-mini_clean_results,RTLLM/Prob036_edge_detect,0.8000,0.8857,1.0000,1.0000,N/A,N/A,N/A,655.69
gpt-4.1-mini_clean_results,RTLLM/Prob037_parallel2serial,0.1000,0.5143,1.0000,1.0000,N/A,N/A,N/A,743.79
gpt-4.1-mini_clean_results,RTLLM/Prob038_pulse_detect,0.0000,0.0905,0.0000,1.0000,N/A,N/A,N/A,601.04
gpt-4.1-mini_clean_results,RTLLM/Prob039_serial2parallel,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,12798.56
gpt-4.1-mini_clean_results,RTLLM/Prob040_synchronizer,1.0000,0.8905,1.0000,1.0000,N/A,N/A,N/A,854.83
gpt-4.1-mini_clean_results,RTLLM/Prob041_traffic_light,0.1000,0.5619,1.0000,1.0000,29.41,98.69,N/A,1057.12
gpt-4.1-mini_clean_results,RTLLM/Prob042_width_8to16,0.6000,0.2714,1.0000,1.0000,N/A,N/A,N/A,767.26
gpt-4.1-mini_clean_results,RTLLM/Prob043_RAM,1.0000,0.8476,1.0000,1.0000,34.47,63.39,35.48,834.53
gpt-4.1-mini_clean_results,RTLLM/Prob044_ROM,0.8000,0.8095,1.0000,1.0000,N/A,N/A,N/A,558.29
gpt-4.1-mini_clean_results,RTLLM/Prob045_alu,0.1000,0.4952,1.0000,1.0000,23.24,22.19,N/A,1942.54
gpt-4.1-mini_clean_results,RTLLM/Prob046_clkgenerator,0.0000,0.1476,0.0000,1.0000,N/A,N/A,N/A,588.23
gpt-4.1-mini_clean_results,RTLLM/Prob047_instr_reg,1.0000,0.9762,1.0000,1.0000,N/A,N/A,N/A,668.29
gpt-4.1-mini_clean_results,RTLLM/Prob048_pe,0.7000,0.6095,1.0000,1.0000,-2.75,-8.43,54.78,910.15
gpt-4.1-mini_clean_results,RTLLM/Prob049_signal_generator,0.0000,0.3333,0.0000,1.0000,N/A,N/A,N/A,583.63
gpt-4.1-mini_clean_results,RTLLM/Prob050_square_wave,1.0000,0.9762,1.0000,1.0000,26.05,71.58,2.63,690.03
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL,0.6917,0.7358,0.8205,0.9423,6.0013,45.5452,17.0545,785.3673
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob001_zero,1.0000,0.7810,1.0000,1.0000,N/A,N/A,N/A,369.75
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob002_m2014_q4i,1.0000,0.7286,1.0000,1.0000,N/A,N/A,N/A,369.01
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob003_step_one,1.0000,0.7286,1.0000,1.0000,N/A,N/A,N/A,383.64
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob004_vector2,1.0000,0.9000,1.0000,1.0000,N/A,N/A,N/A,613.10
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob005_notgate,1.0000,0.9857,1.0000,1.0000,N/A,N/A,N/A,460.11
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob006_vectorr,1.0000,0.9429,1.0000,1.0000,N/A,N/A,N/A,603.88
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob007_wire,1.0000,0.9762,1.0000,1.0000,N/A,N/A,N/A,409.35
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob008_m2014_q4h,1.0000,0.6571,1.0000,1.0000,N/A,N/A,N/A,375.01
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob009_popcount3,1.0000,0.9524,1.0000,1.0000,N/A,N/A,N/A,582.61
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob010_mt2015_q4a,1.0000,0.9952,1.0000,1.0000,N/A,N/A,N/A,539.47
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob011_norgate,1.0000,0.9714,1.0000,1.0000,N/A,N/A,N/A,471.33
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob012_xnorgate,1.0000,0.9571,1.0000,1.0000,N/A,N/A,N/A,467.92
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob013_m2014_q4e,1.0000,0.9810,1.0000,1.0000,N/A,N/A,N/A,491.40
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob014_andgate,1.0000,0.9857,1.0000,1.0000,N/A,N/A,N/A,438.73
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob015_vector1,1.0000,0.9905,1.0000,1.0000,N/A,N/A,N/A,544.92
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob016_m2014_q4j,1.0000,0.9857,1.0000,1.0000,N/A,N/A,N/A,726.01
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob017_mux2to1v,1.0000,0.9810,1.0000,1.0000,0.00,98.93,N/A,711.90
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob018_mux256to1,1.0000,0.9810,1.0000,1.0000,23.37,99.30,N/A,1430.40
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob019_m2014_q4f,1.0000,0.9190,1.0000,1.0000,N/A,N/A,N/A,565.32
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob020_mt2015_eq2,1.0000,0.9381,1.0000,1.0000,N/A,N/A,N/A,547.98
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,1.0000,0.9667,1.0000,1.0000,26.72,99.37,N/A,1824.11
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob022_mux2to1,1.0000,0.9905,1.0000,1.0000,N/A,N/A,N/A,463.06
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob023_vector100r,1.0000,0.8381,1.0000,1.0000,0.00,98.90,N/A,902.00
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob024_hadd,1.0000,0.9905,1.0000,1.0000,N/A,N/A,N/A,461.73
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob025_reduction,1.0000,0.9571,1.0000,1.0000,N/A,N/A,N/A,605.26
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob026_alwaysblock1,1.0000,0.9905,1.0000,1.0000,N/A,N/A,N/A,499.53
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob027_fadd,1.0000,0.9810,1.0000,1.0000,N/A,N/A,N/A,526.38
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob028_m2014_q4a,1.0000,0.9429,1.0000,1.0000,N/A,N/A,N/A,517.27
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob029_m2014_q4g,1.0000,0.9667,1.0000,1.0000,N/A,N/A,N/A,493.20
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob030_popcount255,0.7000,0.5857,1.0000,1.0000,0.45,86.33,N/A,1530.33
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob031_dff,1.0000,0.9143,1.0000,1.0000,N/A,N/A,N/A,525.39
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob032_vector0,1.0000,0.9714,1.0000,1.0000,N/A,N/A,N/A,469.47
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob033_ece241_2014_q1c,1.0000,0.8857,1.0000,1.0000,N/A,N/A,N/A,801.31
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob034_dff8,0.0000,0.1190,0.0000,1.0000,N/A,N/A,N/A,476.54
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob035_count1to10,1.0000,0.9429,1.0000,1.0000,N/A,N/A,N/A,656.82
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob036_ringer,1.0000,0.9810,1.0000,1.0000,N/A,N/A,N/A,530.06
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob037_review2015_count1k,1.0000,0.8952,1.0000,1.0000,N/A,N/A,N/A,743.16
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob038_count15,1.0000,0.9571,1.0000,1.0000,N/A,N/A,N/A,582.49
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob039_always_if,1.0000,0.9857,1.0000,1.0000,N/A,N/A,N/A,565.43
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob040_count10,1.0000,0.9524,1.0000,1.0000,N/A,N/A,N/A,587.96
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob041_dff8r,1.0000,0.9952,1.0000,1.0000,N/A,N/A,N/A,605.97
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob042_vector4,1.0000,0.9762,1.0000,1.0000,N/A,N/A,N/A,505.22
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob043_vector5,0.1000,0.5095,1.0000,1.0000,N/A,N/A,N/A,882.00
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob044_vectorgates,1.0000,0.9952,1.0000,1.0000,N/A,N/A,N/A,585.55
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob045_edgedetect2,0.5000,0.6143,1.0000,1.0000,N/A,N/A,N/A,542.75
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob046_dff8p,1.0000,0.8762,1.0000,1.0000,N/A,N/A,N/A,718.50
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob047_dff8ar,1.0000,0.9810,1.0000,1.0000,N/A,N/A,N/A,596.57
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob048_m2014_q4c,1.0000,0.9381,1.0000,1.0000,N/A,N/A,N/A,468.68
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob049_m2014_q4b,1.0000,0.8429,1.0000,1.0000,N/A,N/A,N/A,564.52
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob050_kmap1,1.0000,0.9905,1.0000,1.0000,N/A,N/A,N/A,547.55
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob051_gates4,1.0000,0.9810,1.0000,1.0000,N/A,N/A,N/A,606.99
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob052_gates100,1.0000,0.9095,1.0000,1.0000,42.66,31.02,N/A,901.87
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob053_m2014_q4d,0.0000,0.1762,0.0000,1.0000,N/A,N/A,N/A,453.29
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob054_edgedetect,0.3000,0.6476,1.0000,1.0000,N/A,N/A,N/A,583.80
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob055_conditional,1.0000,0.9619,1.0000,1.0000,14.40,99.24,N/A,732.37
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob056_ece241_2013_q7,1.0000,0.9524,1.0000,1.0000,N/A,N/A,N/A,635.91
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob057_kmap2,0.5000,0.6524,1.0000,1.0000,N/A,N/A,N/A,902.18
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob058_alwaysblock2,1.0000,0.8857,1.0000,1.0000,N/A,N/A,N/A,529.85
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob059_wire4,1.0000,0.9905,1.0000,1.0000,N/A,N/A,N/A,418.00
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob060_m2014_q4k,0.9000,0.9524,1.0000,1.0000,N/A,N/A,N/A,585.74
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob061_2014_q4a,0.9000,0.9429,1.0000,1.0000,N/A,N/A,N/A,533.46
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob062_bugs_mux2,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,477.74
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob063_review2015_shiftcount,0.0000,0.4857,0.0000,1.0000,N/A,N/A,N/A,761.15
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob064_vector3,1.0000,0.8238,1.0000,1.0000,N/A,N/A,N/A,635.81
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob065_7420,1.0000,0.8667,1.0000,1.0000,N/A,N/A,N/A,622.21
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob066_edgecapture,0.0000,0.1143,0.0000,1.0000,N/A,N/A,N/A,554.18
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob067_countslow,1.0000,0.9381,1.0000,1.0000,N/A,N/A,N/A,580.17
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob068_countbcd,0.0000,0.5476,0.0000,1.0000,0.56,16.44,9.76,931.44
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob069_truthtable1,1.0000,0.9667,1.0000,1.0000,N/A,N/A,N/A,558.30
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob070_ece241_2013_q2,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,871.24
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob071_always_casez,0.8000,0.6714,1.0000,1.0000,N/A,N/A,N/A,618.06
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob072_thermostat,1.0000,0.9762,1.0000,1.0000,N/A,N/A,N/A,544.08
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob073_dff16e,1.0000,0.9190,1.0000,1.0000,0.00,0.00,0.00,577.86
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob074_ece241_2014_q4,0.9000,0.4714,1.0000,1.0000,N/A,N/A,N/A,694.82
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob075_counter_2bc,1.0000,0.9381,1.0000,1.0000,N/A,N/A,N/A,664.45
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob076_always_case,1.0000,0.9667,1.0000,1.0000,N/A,N/A,N/A,586.77
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob077_wire_decl,1.0000,0.9905,1.0000,1.0000,N/A,N/A,N/A,555.07
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob078_dualedge,0.9000,0.5238,1.0000,1.0000,N/A,N/A,N/A,640.48
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob079_fsm3onehot,1.0000,0.9810,1.0000,1.0000,N/A,N/A,N/A,664.25
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob080_timer,0.8000,0.8429,1.0000,1.0000,-2.88,19.50,-5.71,730.92
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob081_7458,1.0000,1.0000,1.0000,1.0000,N/A,N/A,N/A,651.72
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob082_lfsr32,0.0000,0.4905,0.0000,1.0000,10.41,1.59,0.00,1427.04
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob083_mt2015_q4b,1.0000,0.9714,1.0000,1.0000,N/A,N/A,N/A,555.34
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob084_ece241_2013_q12,1.0000,0.8000,1.0000,1.0000,N/A,N/A,N/A,631.78
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob085_shift4,1.0000,0.9619,1.0000,1.0000,N/A,N/A,N/A,611.73
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob086_lfsr5,0.1000,0.4143,1.0000,1.0000,N/A,N/A,N/A,634.75
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob087_gates,1.0000,0.9810,1.0000,1.0000,N/A,N/A,N/A,735.24
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob088_ece241_2014_q5b,1.0000,0.9190,1.0000,1.0000,N/A,N/A,N/A,619.73
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob089_ece241_2014_q5a,0.3000,0.4810,1.0000,1.0000,N/A,N/A,N/A,721.85
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob090_circuit1,1.0000,0.9857,1.0000,1.0000,N/A,N/A,N/A,449.00
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob091_2012_q2b,0.9000,0.9143,1.0000,1.0000,N/A,N/A,N/A,713.68
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob092_gatesv100,0.9000,0.5476,1.0000,1.0000,0.00,0.00,N/A,786.95
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob093_ece241_2014_q3,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1119.78
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob094_gatesv,0.8000,0.4762,1.0000,1.0000,N/A,N/A,N/A,685.08
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob095_review2015_fsmshift,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,608.30
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob096_review2015_fsmseq,0.3000,0.7619,1.0000,1.0000,N/A,N/A,N/A,696.71
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob097_mux9to1v,1.0000,0.8571,1.0000,1.0000,15.99,14.75,N/A,868.04
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob098_circuit7,0.6000,0.8667,1.0000,1.0000,N/A,N/A,N/A,492.27
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob099_m2014_q6c,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,534.64
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob100_fsm3comb,1.0000,0.9143,1.0000,1.0000,N/A,N/A,N/A,695.03
