seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_front_slot_lane_parent_requests,total_front_slot_lane_parent_hits,total_two_parent_attempts,total_two_parent_fallbacks,total_two_parent_gate_attempts,total_two_parent_gate_accepts,total_two_parent_gate_rejects
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,,,,,
all,all,rtl_native_front_guarded_parent_qd,T66 RTL-native guarded parent QD,13,13,624,598,268,260,0.429487,0.416667,0.278020,0.081293,0.071443,20,48,90,0.029234,0.000101,0.639423,0.782053,72.000000,20.000000,0.487726,0.239850,0.000000,15.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,,,,,
all,RTLLM,rtl_native_front_guarded_parent_qd,T66 RTL-native guarded parent QD,7,7,336,317,180,173,0.535714,0.514881,0.303211,0.093810,0.075600,12,36,63,0.048361,0.000182,0.669643,1.118636,53.000000,12.000000,0.695444,0.315972,0.000000,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,,,,,
all,VerilogEval-Spec-to-RTL,rtl_native_front_guarded_parent_qd,T66 RTL-native guarded parent QD,6,6,288,281,88,87,0.305556,0.302083,0.242753,0.066691,0.066593,8,12,27,0.006919,0.000007,0.604167,0.389372,19.000000,8.000000,0.245389,0.151042,0.000000,6.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,,,,,
1001,all,rtl_native_front_guarded_parent_qd,T66 RTL-native guarded parent QD,13,13,624,598,268,260,0.429487,0.416667,0.278020,0.081293,0.071443,20,48,90,0.029234,0.000101,0.639423,0.782053,72.000000,20.000000,0.487726,0.239850,0.000000,15.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,,,,,
1001,RTLLM,rtl_native_front_guarded_parent_qd,T66 RTL-native guarded parent QD,7,7,336,317,180,173,0.535714,0.514881,0.303211,0.093810,0.075600,12,36,63,0.048361,0.000182,0.669643,1.118636,53.000000,12.000000,0.695444,0.315972,0.000000,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,,,,,
1001,VerilogEval-Spec-to-RTL,rtl_native_front_guarded_parent_qd,T66 RTL-native guarded parent QD,6,6,288,281,88,87,0.305556,0.302083,0.242753,0.066691,0.066593,8,12,27,0.006919,0.000007,0.604167,0.389372,19.000000,8.000000,0.245389,0.151042,0.000000,6.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
