generation,problem_count,functionality_mean,synthesis_mean,best_score_mean,average_score_mean,diff_success_rate_mean,coverage_mean,qd_score_mean,best_quality_mean,new_filled_cells_mean,replaced_cells_mean
0,13,0.40384615384615385,0.40384615384615385,0.2255554858861921,0.17694029605019998,,0.04487179487179487,0.07909072056630867,0.15829888056114766,0.6153846153846154,0.0
1,13,0.4935897435897436,0.4935897435897436,0.2268008923417485,0.18707699904855013,,0.15277777777777776,0.3481238527637956,0.219795945724413,0.23076923076923078,0.0
2,13,0.5,0.48717948717948717,0.22553799026515983,0.17775446665832267,,0.1891025641025641,0.4014353498109851,0.22026170764646577,0.6923076923076923,0.15384615384615385
3,13,0.5641025641025641,0.5641025641025641,0.24646282026939878,0.22254567264379446,,0.1987179487179487,0.474790499415536,0.22112392073336365,0.23076923076923078,0.23076923076923078
4,0,,,,,,1.0,0.24107868416513661,0.24107868416513661,1.3333333333333333,0.0
