benchmark,problem,functionality_rate,synthesis_rate,best_score,runtime_seconds,final_coverage,final_qd_score
RTLLM,Prob004_adder_8bit,0.75,0.75,0.38154412826809186,1788.7516028881073,1.0,0.38154412826809186
RTLLM,Prob015_multi_pipe_8bit,0.6875,0.6875,0.05279453299055512,2740.6508910655975,0.375,-0.002196019914837477
RTLLM,Prob024_fsm,0.4791666666666667,0.4583333333333333,0.49167240120946715,2100.097074985504,0.3125,2.4280752789073086
RTLLM,Prob037_parallel2serial,0.375,0.375,-0.0,2249.26212143898,0.1875,-0.3285356880058867
RTLLM,Prob041_traffic_light,0.75,0.75,0.4077420721374969,2688.9562437534332,0.375,2.0297815298959088
RTLLM,Prob045_alu,0.3958333333333333,0.3958333333333333,0.4152757737039227,2927.670412302017,0.3333333333333333,1.202299592614495
RTLLM,Prob049_signal_generator,0.7083333333333334,0.7083333333333334,0.2638032281317402,1959.3750998973846,0.3333333333333333,0.9681273113394298
VerilogEval-Spec-to-RTL,Prob098_circuit7,0.6875,0.6875,0.01200564971751411,2199.2843067646027,1.0,0.01200564971751411
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.041666666666666664,0.041666666666666664,,3148.305552482605,0.0,0.0
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.5833333333333334,0.5833333333333334,0.2636173393124066,2777.0994794368744,0.3333333333333333,0.7228849028400599
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,0.6041666666666666,0.6041666666666666,0.32968627450980387,2517.873112678528,1.0,0.32968627450980387
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,0.3125,0.2916666666666667,-0.12591398161867956,2709.49950504303,0.3333333333333333,-0.8481604152745092
VerilogEval-Spec-to-RTL,Prob153_gshare,,,,1545.980403661728,0.0,0.0
