metric,classic,method,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.12293979747931116,-0.0015449033263234685,-0.012410387110425867
mean_best_fitness,0.2670645637361175,0.262991354948593,-0.004073208787524485,-0.01525177556521187
valid_ppa_candidate_count,209.0,197.0,-12.0,-0.05741626794258373
ppa_front_unique_netlist_count,12.0,20.0,8.0,0.6666666666666666
unique_motif_signature_count,43.0,43.0,0.0,0.0
common_audit_occupied_cells,12.0,10.0,-2.0,-0.16666666666666666
common_audit_qd_score,2.316311854699285,2.811131936475689,0.49482008177640413,0.2136241200736954
functionality_rate,0.7256944444444444,0.6840277777777778,-0.04166666666666663,-0.057416267942583685
synthesis_rate,0.7256944444444444,0.6840277777777778,-0.04166666666666663,-0.057416267942583685
valid_ppa_rate,0.7256944444444444,0.6840277777777778,-0.04166666666666663,-0.057416267942583685
