method,method_label,reference,reference_label,metric,value,reference_value,delta,relative_delta
sr_raw_conservative_exploit_qd,Conservative exploit,classic_revolution,Classic,unique_family_count,52.000000,55.000000,-3.000000,-0.054545
sr_raw_conservative_exploit_qd,Conservative exploit,classic_revolution,Classic,front_unique_family_count,9.000000,19.000000,-10.000000,-0.526316
sr_raw_conservative_exploit_qd,Conservative exploit,classic_revolution,Classic,front_unique_netlist_count,9.000000,21.000000,-12.000000,-0.571429
sr_raw_conservative_exploit_qd,Conservative exploit,classic_revolution,Classic,reference_beating_unique_family_count,37.000000,36.000000,1.000000,0.027778
sr_raw_conservative_exploit_qd,Conservative exploit,classic_revolution,Classic,family_duplicate_count,5.000000,11.000000,-6.000000,-0.545455
sr_raw_conservative_exploit_qd,Conservative exploit,classic_revolution,Classic,front_family_ratio,0.900000,0.791667,0.108333,0.136842
sr_raw_conservative_exploit_qd,Conservative exploit,classic_revolution,Classic,valid_family_ratio,0.912281,0.833333,0.078948,0.094738
sr_raw_conservative_exploit_qd,Conservative exploit,landing_smooth_qd_manual_bd,Manual BD,unique_family_count,52.000000,56.000000,-4.000000,-0.071429
sr_raw_conservative_exploit_qd,Conservative exploit,landing_smooth_qd_manual_bd,Manual BD,front_unique_family_count,9.000000,9.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Conservative exploit,landing_smooth_qd_manual_bd,Manual BD,front_unique_netlist_count,9.000000,11.000000,-2.000000,-0.181818
sr_raw_conservative_exploit_qd,Conservative exploit,landing_smooth_qd_manual_bd,Manual BD,reference_beating_unique_family_count,37.000000,39.000000,-2.000000,-0.051282
sr_raw_conservative_exploit_qd,Conservative exploit,landing_smooth_qd_manual_bd,Manual BD,family_duplicate_count,5.000000,7.000000,-2.000000,-0.285714
sr_raw_conservative_exploit_qd,Conservative exploit,landing_smooth_qd_manual_bd,Manual BD,front_family_ratio,0.900000,0.750000,0.150000,0.200000
sr_raw_conservative_exploit_qd,Conservative exploit,landing_smooth_qd_manual_bd,Manual BD,valid_family_ratio,0.912281,0.888889,0.023392,0.026316
sr_raw_conservative_exploit_qd,Conservative exploit,random_descriptor_qd,Random,unique_family_count,52.000000,32.000000,20.000000,0.625000
sr_raw_conservative_exploit_qd,Conservative exploit,random_descriptor_qd,Random,front_unique_family_count,9.000000,7.000000,2.000000,0.285714
sr_raw_conservative_exploit_qd,Conservative exploit,random_descriptor_qd,Random,front_unique_netlist_count,9.000000,7.000000,2.000000,0.285714
sr_raw_conservative_exploit_qd,Conservative exploit,random_descriptor_qd,Random,reference_beating_unique_family_count,37.000000,17.000000,20.000000,1.176471
sr_raw_conservative_exploit_qd,Conservative exploit,random_descriptor_qd,Random,family_duplicate_count,5.000000,5.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Conservative exploit,random_descriptor_qd,Random,front_family_ratio,0.900000,1.000000,-0.100000,-0.100000
sr_raw_conservative_exploit_qd,Conservative exploit,random_descriptor_qd,Random,valid_family_ratio,0.912281,0.864865,0.047416,0.054825
sr_raw_conservative_exploit_qd,Conservative exploit,sr_raw_pca_qd,SR raw,unique_family_count,52.000000,44.000000,8.000000,0.181818
sr_raw_conservative_exploit_qd,Conservative exploit,sr_raw_pca_qd,SR raw,front_unique_family_count,9.000000,16.000000,-7.000000,-0.437500
sr_raw_conservative_exploit_qd,Conservative exploit,sr_raw_pca_qd,SR raw,front_unique_netlist_count,9.000000,16.000000,-7.000000,-0.437500
sr_raw_conservative_exploit_qd,Conservative exploit,sr_raw_pca_qd,SR raw,reference_beating_unique_family_count,37.000000,23.000000,14.000000,0.608696
sr_raw_conservative_exploit_qd,Conservative exploit,sr_raw_pca_qd,SR raw,family_duplicate_count,5.000000,5.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Conservative exploit,sr_raw_pca_qd,SR raw,front_family_ratio,0.900000,1.000000,-0.100000,-0.100000
sr_raw_conservative_exploit_qd,Conservative exploit,sr_raw_pca_qd,SR raw,valid_family_ratio,0.912281,0.897959,0.014322,0.015950
sr_raw_conservative_exploit_qd,Conservative exploit,guarded_sr_raw_pareto_qd,Guarded SR raw,unique_family_count,52.000000,37.000000,15.000000,0.405405
sr_raw_conservative_exploit_qd,Conservative exploit,guarded_sr_raw_pareto_qd,Guarded SR raw,front_unique_family_count,9.000000,10.000000,-1.000000,-0.100000
sr_raw_conservative_exploit_qd,Conservative exploit,guarded_sr_raw_pareto_qd,Guarded SR raw,front_unique_netlist_count,9.000000,10.000000,-1.000000,-0.100000
sr_raw_conservative_exploit_qd,Conservative exploit,guarded_sr_raw_pareto_qd,Guarded SR raw,reference_beating_unique_family_count,37.000000,23.000000,14.000000,0.608696
sr_raw_conservative_exploit_qd,Conservative exploit,guarded_sr_raw_pareto_qd,Guarded SR raw,family_duplicate_count,5.000000,4.000000,1.000000,0.250000
sr_raw_conservative_exploit_qd,Conservative exploit,guarded_sr_raw_pareto_qd,Guarded SR raw,front_family_ratio,0.900000,1.000000,-0.100000,-0.100000
sr_raw_conservative_exploit_qd,Conservative exploit,guarded_sr_raw_pareto_qd,Guarded SR raw,valid_family_ratio,0.912281,0.902439,0.009842,0.010906
