backend,problem,circuit_type,hv_final,hv_auc
classic_revolution_8x5,Prob015_multi_pipe_8bit,sequential,0,0
classic_revolution_8x5,Prob024_fsm,combinational,0.144729433844,0.124225836722
classic_revolution_8x5,Prob041_traffic_light,combinational,0.310100217865,0.247459694989
classic_revolution_8x5,Prob045_alu,combinational,0.252356392667,0.224868446679
classic_revolution_8x5,Prob049_signal_generator,sequential,0.0191988404409,0.0161314760327
classic_revolution_8x5,Prob116_m2014_q3,combinational,0.398422797928,0.378175751295
classic_revolution_8x5,Prob135_m2014_q6b,combinational,0,0
classic_revolution_8x5,Prob153_gshare,sequential,0.000350589733405,0.000129712855621
elite_pareto_slot_2,Prob015_multi_pipe_8bit,sequential,0.000976452289862,9.76452289862e-05
elite_pareto_slot_2,Prob024_fsm,combinational,0.340631842352,0.21306850172
elite_pareto_slot_2,Prob041_traffic_light,combinational,0.290652505447,0.226042737836
elite_pareto_slot_2,Prob045_alu,combinational,0.20595240686,0.193754234575
elite_pareto_slot_2,Prob049_signal_generator,sequential,0.0191140773484,0.017459289876
elite_pareto_slot_2,Prob116_m2014_q3,combinational,0.398422797928,0.398422797928
elite_pareto_slot_2,Prob135_m2014_q6b,combinational,0,0
elite_pareto_slot_2,Prob153_gshare,sequential,0.000955798047039,0.0004535870038
front_slot_lane_010,Prob015_multi_pipe_8bit,sequential,0,0
front_slot_lane_010,Prob024_fsm,combinational,0.145886768846,0.123603378167
front_slot_lane_010,Prob041_traffic_light,combinational,0.326757806827,0.263647530864
front_slot_lane_010,Prob045_alu,combinational,0.242105629805,0.208362347723
front_slot_lane_010,Prob049_signal_generator,sequential,0.0191988404409,0.011185549588
front_slot_lane_010,Prob116_m2014_q3,combinational,0.398422797928,0.398422797928
front_slot_lane_010,Prob135_m2014_q6b,combinational,0,0
front_slot_lane_010,Prob153_gshare,sequential,0.000396028519015,0.000375349584885
front_slot_lane_030,Prob015_multi_pipe_8bit,sequential,0,0
front_slot_lane_030,Prob024_fsm,combinational,0.340631842352,0.224194557398
front_slot_lane_030,Prob041_traffic_light,combinational,0.299274509804,0.245782643428
front_slot_lane_030,Prob045_alu,combinational,0.227317547802,0.181400330376
front_slot_lane_030,Prob049_signal_generator,sequential,0.0146216334483,0.0122853507126
front_slot_lane_030,Prob116_m2014_q3,combinational,0.398422797928,0.398422797928
front_slot_lane_030,Prob135_m2014_q6b,combinational,0.198627802691,0.1787632287
front_slot_lane_030,Prob153_gshare,sequential,0,0
smooth_qd_v2_8x5,Prob015_multi_pipe_8bit,sequential,0,0
smooth_qd_v2_8x5,Prob024_fsm,combinational,0.340631842352,0.238442289646
smooth_qd_v2_8x5,Prob041_traffic_light,combinational,0.408417211329,0.296758061002
smooth_qd_v2_8x5,Prob045_alu,combinational,0.231821801696,0.205658561798
smooth_qd_v2_8x5,Prob049_signal_generator,sequential,0.00997131828859,0.00965758889264
smooth_qd_v2_8x5,Prob116_m2014_q3,combinational,0.398422797928,0.3980773057
smooth_qd_v2_8x5,Prob135_m2014_q6b,combinational,0,0
smooth_qd_v2_8x5,Prob153_gshare,sequential,0.000845050463025,0.000685475096293
