seed,baseline_mean_hv,treatment_mean_hv,treatment_over_baseline_pct,baseline_mean_hv_auc,treatment_mean_hv_auc,baseline_coverage,treatment_coverage,baseline_pareto_pts,treatment_pareto_pts
1001,0.17376375275693837,0.18486201675307803,106.4,0.143659910,0.155106114,8/8,8/8,2.625,2.875
1002,0.17179976188570917,0.16127376889633824,93.9,0.151323348,0.150019507,8/8,8/8,2.0,3.0
1003,0.1429425878468403,0.13704133193471446,95.9,0.129256461,0.107363107,8/8,8/8,3.125,3.125
mean,0.16283536749649596,0.16105903919471024,98.9,0.141413240,0.137496243,,,,
