problem,method,front_cell_delta,occupied_cell_delta,mean_risk_delta,mean_front_risk_delta
Prob001_accu,sr_raw_conservative_exploit_qd,0.000000,0.000000,3.753496,1.050000
Prob002_adder_16bit,sr_raw_conservative_exploit_qd,0.000000,-1.000000,-1.218182,-8.000000
Prob003_adder_32bit,sr_raw_conservative_exploit_qd,0.000000,-1.000000,-0.562647,0.000000
Prob004_adder_8bit,sr_raw_conservative_exploit_qd,0.000000,1.000000,2.236364,-8.500000
Prob005_adder_bcd,sr_raw_conservative_exploit_qd,0.000000,1.000000,0.181176,0.150000
Prob007_comparator_3bit,sr_raw_conservative_exploit_qd,0.000000,-1.000000,-4.496875,-1.450000
Prob008_comparator_4bit,sr_raw_conservative_exploit_qd,0.000000,-1.000000,-6.658333,-5.000000
Prob009_div_16bit,sr_raw_conservative_exploit_qd,0.000000,0.000000,1.081250,0.110000
Prob011_multi_16bit,sr_raw_conservative_exploit_qd,-1.000000,0.000000,1.120301,4.766666
Prob012_multi_8bit,sr_raw_conservative_exploit_qd,0.000000,0.000000,3.250000,0.000000
Prob015_multi_pipe_8bit,sr_raw_conservative_exploit_qd,-1.000000,-2.000000,3.538889,6.930000
Prob019_sub_64bit,sr_raw_conservative_exploit_qd,0.000000,2.000000,12.387500,-1.050000
Prob020_JC_counter,sr_raw_conservative_exploit_qd,0.000000,-1.000000,-1.662500,0.000000
Prob021_counter_12,sr_raw_conservative_exploit_qd,-1.000000,-1.000000,-3.135417,-6.516667
Prob023_up_down_counter,sr_raw_conservative_exploit_qd,0.000000,-1.000000,-4.500000,-10.800000
Prob024_fsm,sr_raw_conservative_exploit_qd,1.000000,-1.000000,3.662500,17.783333
Prob025_sequence_detector,sr_raw_conservative_exploit_qd,1.000000,0.000000,9.219047,15.875000
Prob027_LIFObuffer,sr_raw_conservative_exploit_qd,1.000000,-1.000000,-7.198317,3.485417
Prob030_right_shifter,sr_raw_conservative_exploit_qd,0.000000,1.000000,5.333333,0.000000
Prob031_freq_div,sr_raw_conservative_exploit_qd,0.000000,-2.000000,-1.133333,0.850000
Prob035_calendar,sr_raw_conservative_exploit_qd,-1.000000,-1.000000,-3.286667,-0.241667
Prob036_edge_detect,sr_raw_conservative_exploit_qd,0.000000,1.000000,2.168750,-2.150000
Prob037_parallel2serial,sr_raw_conservative_exploit_qd,0.000000,-4.000000,-5.193750,-8.225000
Prob041_traffic_light,sr_raw_conservative_exploit_qd,0.000000,-2.000000,4.305294,-2.208333
Prob043_RAM,sr_raw_conservative_exploit_qd,0.000000,-2.000000,-2.517045,-2.575000
Prob044_ROM,sr_raw_conservative_exploit_qd,0.000000,0.000000,-1.666667,-2.500000
Prob045_alu,sr_raw_conservative_exploit_qd,0.000000,0.000000,-16.150000,-62.400000
Prob047_instr_reg,sr_raw_conservative_exploit_qd,0.000000,0.000000,-0.283333,-2.200000
Prob048_pe,sr_raw_conservative_exploit_qd,-2.000000,-1.000000,-2.057500,-7.383333
Prob049_signal_generator,sr_raw_conservative_exploit_qd,-1.000000,-3.000000,-3.347273,-7.800000
Prob050_square_wave,sr_raw_conservative_exploit_qd,1.000000,1.000000,-2.365071,-6.758333
