cohort,method,candidate_count,front_count,occupied_cells,front_cells,mean_timing_risk_score,mean_front_timing_risk_score,mean_control_pipeline_ratio,mean_front_control_pipeline_ratio
all,classic_revolution,352,61,16,16,32.005824,26.695902,1.578400,1.133169
all,sr_raw_conservative_exploit_qd,318,69,16,16,28.658176,29.384783,1.295398,1.031784
