descriptor_axis,descriptor_space,method_name,metric,pearson_r,sample_count
sr_pca_0,internal,sr_rff_pca_qd,area,0.24392682559754766,197
sr_pca_0,internal,sr_rff_pca_qd,fitness,-0.3423117822040745,197
sr_pca_0,internal,sr_rff_pca_qd,power,0.24859114542008431,197
sr_pca_0,internal,sr_rff_pca_qd,timing_or_clock_period,0.3460355384822126,197
sr_pca_1,internal,sr_rff_pca_qd,area,0.4232180500309767,197
sr_pca_1,internal,sr_rff_pca_qd,fitness,-0.31061297372575586,197
sr_pca_1,internal,sr_rff_pca_qd,power,0.3701567773359795,197
sr_pca_1,internal,sr_rff_pca_qd,timing_or_clock_period,0.36423671484247405,197
sr_pca_2,internal,sr_rff_pca_qd,area,-0.07058148732063856,197
sr_pca_2,internal,sr_rff_pca_qd,fitness,0.35752820688919273,197
sr_pca_2,internal,sr_rff_pca_qd,power,0.03887861703281979,197
sr_pca_2,internal,sr_rff_pca_qd,timing_or_clock_period,0.18022422753835735,197
motif_arith_ratio,common_audit,sr_rff_pca_qd,area,0.20518834595466814,197
motif_arith_ratio,common_audit,sr_rff_pca_qd,fitness,0.36043873282217587,197
motif_arith_ratio,common_audit,sr_rff_pca_qd,power,0.07325766921480598,197
motif_arith_ratio,common_audit,sr_rff_pca_qd,timing_or_clock_period,-0.04890222084373228,197
motif_control_ratio,common_audit,sr_rff_pca_qd,area,0.1259419109221685,197
motif_control_ratio,common_audit,sr_rff_pca_qd,fitness,0.0171919247063026,197
motif_control_ratio,common_audit,sr_rff_pca_qd,power,-0.06493205542909825,197
motif_control_ratio,common_audit,sr_rff_pca_qd,timing_or_clock_period,0.18496501760403736,197
motif_diversity,common_audit,sr_rff_pca_qd,area,-0.2933739756135944,197
motif_diversity,common_audit,sr_rff_pca_qd,fitness,-0.22838046105673637,197
motif_diversity,common_audit,sr_rff_pca_qd,power,0.03300942346771856,197
motif_diversity,common_audit,sr_rff_pca_qd,timing_or_clock_period,0.2971651416386884,197
motif_logic_ratio,common_audit,sr_rff_pca_qd,area,-0.25526041158951357,197
motif_logic_ratio,common_audit,sr_rff_pca_qd,fitness,-0.05331822602149502,197
motif_logic_ratio,common_audit,sr_rff_pca_qd,power,-0.21752798163933632,197
motif_logic_ratio,common_audit,sr_rff_pca_qd,timing_or_clock_period,-0.2595807084123245,197
