method_key,family,covered_problem_count,headline_problem_count,mean_hv,mean_hv_auc,mean_hv_retention_pct,classic_hv_win_count,classic_hv_loss_count,classic_hv_tie_count
classic_revolution_8x5,classic,33,46,0.0997492861591,0.0898692336686,100.0,0,0,46
qwen_canonical_rtl_pca3_eoh_8x5,encoder,31,46,0.0892449532222,0.0702897537744,89.469265053,3,12,31
deepgate_high_exploit_eoh_8x5,encoder,25,46,0.0932852539703,0.0782792173063,93.5197208545,5,12,29
masterrtl_archive_activation_eoh_8x5,custom_qd,33,46,0.0914030123957,0.0763127294398,91.6327483787,4,13,29
pcn_v3_rf_stagnation_memory_8x5,pcn_qd_memory,33,46,0.103097449601,0.0906982057658,103.35657885,9,9,28
