comparison,paired_count,mean_delta_hv,median_delta_hv,bootstrap_ci95_low,bootstrap_ci95_high,mean_delta_hv_auc,median_delta_hv_auc,hv_auc_ci95_low,hv_auc_ci95_high,win_count,loss_count,tie_count,sign_test_p,wilcoxon_p
classic_no_cf_minus_classic,3,0.00549703241427,1.0982911996e-05,0.0,0.0164801143308,0.058792823886,0.013178578751,0.0,0.163199892907,2,0,1,0.5,not_available
pcn_cf_restored_minus_classic,3,0.182859033443,0.00974134437217,1.0982911996e-05,0.538824773044,0.069016879596,0.041963791701,-0.01489781983,0.179984666917,3,0,0,0.25,not_available
pcn_cf_restored_minus_pcn_no_cf,3,0.170369404931,0.0,-0.0277165582496,0.538824773044,-0.00430328038467,4.39316500001e-06,-0.05487802602,0.041963791701,1,1,1,1.0,not_available
pcn_no_cf_minus_classic_no_cf,3,0.006992596097,0.0,0.0,0.020977788291,0.0145273360947,0.016780380845,0.0,0.026801627439,1,0,2,1.0,not_available
