method_key,candidate_count,initial_count,single_thought_count,eoh_strategy_count,status
classic_revolution_8x5,1006,194,0,812,pass
qwen_canonical_rtl_pca3_eoh_8x5,805,202,0,557,pass
masterrtl_rf_leafid_structural_eoh_8x5,0,0,0,0,pass
deepgate_high_exploit_eoh_8x5,605,161,0,410,pass
rf_deepgate_hybrid_eoh_8x5,0,0,0,0,pass
aurora_raw_impl_compact_eoh_8x5,0,0,0,0,pass
masterrtl_archive_activation_eoh_8x5,725,213,0,494,pass
pcn_v3_rf_stagnation_memory_8x5,980,190,0,790,pass
