model,benchmark_name,init_func_pass_rate,final_func_pass_rate,init_func_any_pass_rate,final_func_any_pass_rate,area_improvement_percentage_compared_to_ref,power_improvement_percentage_compared_to_ref,eff_clk_improvement_percentage_compared_to_ref,avg_runtime_seconds
deepseek_clean_results,RTLLM,0.5280,0.4472,0.6400,0.8800,27.9009,51.3452,23.6310,1990.4335
deepseek_clean_results,RTLLM/Prob001_accu,1.0000,0.3667,1.0000,1.0000,-1.57,65.17,-6.90,1440.30
deepseek_clean_results,RTLLM/Prob002_adder_16bit,1.0000,0.8619,1.0000,1.0000,26.09,99.39,N/A,2272.29
deepseek_clean_results,RTLLM/Prob003_adder_32bit,0.9000,0.6000,1.0000,1.0000,67.61,99.75,N/A,2487.28
deepseek_clean_results,RTLLM/Prob004_adder_8bit,0.0000,0.7571,0.0000,1.0000,N/A,N/A,N/A,1947.61
deepseek_clean_results,RTLLM/Prob005_adder_bcd,1.0000,0.7381,1.0000,1.0000,N/A,N/A,N/A,1588.01
deepseek_clean_results,RTLLM/Prob006_adder_pipe_64bit,0.0000,0.0143,0.0000,1.0000,N/A,N/A,N/A,2057.21
deepseek_clean_results,RTLLM/Prob007_comparator_3bit,1.0000,0.9762,1.0000,1.0000,N/A,N/A,N/A,1450.92
deepseek_clean_results,RTLLM/Prob008_comparator_4bit,0.9000,0.9238,1.0000,1.0000,N/A,N/A,N/A,1579.06
deepseek_clean_results,RTLLM/Prob009_div_16bit,0.4000,0.5048,1.0000,1.0000,78.34,78.38,N/A,2482.94
deepseek_clean_results,RTLLM/Prob010_radix2_div,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1830.60
deepseek_clean_results,RTLLM/Prob011_multi_16bit,0.7000,0.3571,1.0000,1.0000,2.16,40.00,40.52,2087.06
deepseek_clean_results,RTLLM/Prob012_multi_8bit,0.3000,0.4952,1.0000,1.0000,38.26,62.98,N/A,2426.85
deepseek_clean_results,RTLLM/Prob013_multi_booth_8bit,0.0000,0.1571,0.0000,1.0000,N/A,N/A,N/A,2557.37
deepseek_clean_results,RTLLM/Prob014_multi_pipe_4bit,0.9000,0.5238,1.0000,1.0000,N/A,N/A,N/A,1685.22
deepseek_clean_results,RTLLM/Prob015_multi_pipe_8bit,0.1000,0.3952,1.0000,1.0000,-4.29,49.22,34.15,2274.12
deepseek_clean_results,RTLLM/Prob016_fixed_point_adder,0.9000,0.8333,1.0000,1.0000,N/A,N/A,N/A,1647.69
deepseek_clean_results,RTLLM/Prob017_fixed_point_substractor,1.0000,0.8905,1.0000,1.0000,N/A,N/A,N/A,1695.36
deepseek_clean_results,RTLLM/Prob018_float_multi,0.3000,0.3381,1.0000,1.0000,N/A,N/A,N/A,3034.17
deepseek_clean_results,RTLLM/Prob019_sub_64bit,0.6000,0.6762,1.0000,1.0000,45.25,45.39,N/A,2170.01
deepseek_clean_results,RTLLM/Prob020_JC_counter,1.0000,0.6524,1.0000,1.0000,0.00,0.00,0.00,1473.97
deepseek_clean_results,RTLLM/Prob021_counter_12,1.0000,0.9095,1.0000,1.0000,N/A,N/A,N/A,1660.31
deepseek_clean_results,RTLLM/Prob022_ring_counter,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,942.45
deepseek_clean_results,RTLLM/Prob023_up_down_counter,1.0000,0.6810,1.0000,1.0000,21.62,32.12,22.22,1714.45
deepseek_clean_results,RTLLM/Prob024_fsm,0.3000,0.3048,1.0000,1.0000,N/A,N/A,N/A,1530.45
deepseek_clean_results,RTLLM/Prob025_sequence_detector,0.0000,0.1381,0.0000,1.0000,N/A,N/A,N/A,1308.46
deepseek_clean_results,RTLLM/Prob026_asyn_fifo,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,2737.05
deepseek_clean_results,RTLLM/Prob027_LIFObuffer,0.7000,0.3810,1.0000,1.0000,19.06,51.07,15.38,1756.74
deepseek_clean_results,RTLLM/Prob028_LFSR,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1197.63
