shape,method,population_size,num_generations,candidate_budget,seed,status
12x3,classic_revolution,12,3,48,1001,planned
12x3,shape_density_front_pressure_qd,12,3,48,1001,planned
8x5,classic_revolution,8,5,48,1001,planned
8x5,shape_density_front_pressure_qd,8,5,48,1001,planned
6x7,classic_revolution,6,7,48,1001,planned
6x7,shape_density_front_pressure_qd,6,7,48,1001,planned
