rank,benchmark,problem,stratum,classic_valid_ppa_count,ppa_variance,pareto_size,unique_family_count,duplicate_rate,source_selection_reason
1,RTLLM,Prob015_multi_pipe_8bit,arithmetic_datapath,110,0.29517241866763433,55,282,0.0635400907715582,score_fill
2,RTLLM,Prob024_fsm,control_sequential,91,0.31381743735965073,26,57,0.7208121827411167,score_fill
3,RTLLM,Prob041_traffic_light,control_sequential,184,0.3312322422694964,12,391,0.4196428571428571,stratum_seed:control_sequential
4,RTLLM,Prob045_alu,arithmetic_datapath,233,0.03088037820890051,2,789,0.132,forced_prior_signal
5,RTLLM,Prob049_signal_generator,arithmetic_datapath,155,0.17974111835561937,74,34,0.8751445086705203,score_fill
6,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,control_sequential,233,0.17584465011742967,379,17,0.9557613168724279,score_fill
7,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,control_sequential,291,0.0851038269598386,5,14,0.9800853485064012,same_rule_holdout
8,VerilogEval-Spec-to-RTL,Prob153_gshare,memory_interface,135,0.13877774758794884,34,224,0.551948051948052,forced_prior_signal
