backend,benchmark,problem,candidate,source,cone_count,area,power,tns,wns,deepgate_pc1,deepgate_pc2,deepgate_pc3,cell_axis_1,cell_axis_2,cell_axis_3,cell_id,pareto_area_power
classic_revolution_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample2_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.26510295271873474,0.0026863624807447195,0.009904343634843826,3,0,3,3:0:3,1
classic_revolution_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample3_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.26589086651802063,0.0003518755838740617,0.010803383775055408,3,0,3,3:0:3,1
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample2_initial,full_transition,0,4.0,1.79e-06,0.0,0.0,-0.23690946400165558,0.011095709167420864,0.06525946408510208,1,0,1,1:0:1,0
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample3_initial,full_transition,0,5.0,1.62e-06,0.0,0.0,-0.20330257713794708,0.36997467279434204,0.0698457583785057,1,3,3,1:3:3,0
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample6_initial,full_transition,0,4.0,1.63e-06,0.0,0.0,-0.1804577112197876,-0.001519794692285359,0.00809500738978386,2,0,0,2:0:0,0
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample1_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.1504962146282196,-0.12067905068397522,0.0260928887873888,1,0,2,1:0:2,1
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample4_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.1267949342727661,-0.07052656263113022,0.04014415666460991,2,2,3,2:2:3,1
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample6_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.14981123805046082,0.40070173144340515,0.026840031147003174,2,3,2,2:3:2,1
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample6_initial,cone_pool,3,2935.0,0.435,-207.42,-0.81,-0.14787448942661285,-0.09937804192304611,-0.009221702814102173,2,2,3,2:2:3,0
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample7_initial,cone_pool,3,2876.0,0.426,-186.52,-0.72,-0.18089529871940613,-0.10682358592748642,-0.01899637281894684,1,2,1,1:2:1,0
