benchmark,problem,coverage,occupied_cells,num_cells,archive_members,global_pareto_size,mean_front_size
RTLLM,Prob015_multi_pipe_8bit,0.078125,5,64,6,2,1.2
RTLLM,Prob024_fsm,0.4166666666666667,5,12,7,1,1.4
RTLLM,Prob041_traffic_light,0.140625,9,64,12,1,1.3333333333333333
RTLLM,Prob045_alu,0.5625,9,16,13,5,1.4444444444444444
RTLLM,Prob049_signal_generator,0.125,1,8,1,1,1.0
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,1.0,1,1,2,1,2.0
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.25,3,12,4,1,1.3333333333333333
VerilogEval-Spec-to-RTL,Prob153_gshare,0.078125,5,64,8,5,1.6
