representation,problem_group_count,valid_ppa_count,selected_count,baseline_hypervolume,selected_hypervolume,baseline_pareto_size,selected_pareto_size,baseline_best_fitness,selected_best_fitness,unique_canonical_netlists,unique_motif_signatures,vs_lexical_hv_gain_fraction,vs_lexical_pareto_gain_fraction
fitness_top,114,682,341,3.864198082956659,3.8232476279516034,553,300,0.7498077353006931,0.7498077353006931,52,44,0.03280031397178676,0.06007067137809187
generation_prefix,114,682,341,3.864198082956659,3.1551856809847187,553,303,0.7498077353006931,0.6950547730829421,50,45,-0.14766787844547294,0.0706713780918728
lexical_farthest,114,682,341,3.864198082956659,3.701826554688716,553,283,0.7498077353006931,0.6881421864520456,60,54,0.0,0.0
random,114,682,341,3.864198082956659,3.0741669813303787,553,303,0.7498077353006931,0.6950547730829421,59,50,-0.16955401991034577,0.0706713780918728
t33_canonical_rtl_farthest,114,682,341,3.864198082956659,3.7991670020773105,553,287,0.7498077353006931,0.7498077353006931,59,54,0.02629524802162966,0.014134275618374558
t33_canonical_yosys_netlist_farthest,114,682,341,3.864198082956659,3.578190702854091,553,287,0.7498077353006931,0.7498077353006931,63,56,-0.03339860741936388,0.014134275618374558
t33_commentless_rtl_farthest,114,682,341,3.864198082956659,3.772691691290353,553,293,0.7498077353006931,0.7498077353006931,59,51,0.01914328928022833,0.0353356890459364
t33_identifier_role_rtl_farthest,114,682,341,3.864198082956659,3.799117946399116,553,288,0.7498077353006931,0.7498077353006931,61,55,0.026281996272129793,0.0176678445229682
t33_raw_rtl_farthest,114,682,341,3.864198082956659,3.6555395380963835,553,294,0.7498077353006931,0.6950547730829421,57,50,-0.012503831799927376,0.038869257950530034
t33_summary_plus_netlist_farthest,114,682,341,3.864198082956659,3.686042536225122,553,285,0.7498077353006931,0.7498077353006931,63,56,-0.004263846031252281,0.007067137809187279
t34_canonical_rtl_pc16_residual,114,682,341,3.864198082956659,3.7991670020773105,553,287,0.7498077353006931,0.7498077353006931,59,54,0.02629524802162966,0.014134275618374558
t34_canonical_rtl_pc1_residual,114,682,341,3.864198082956659,3.7991670020773105,553,287,0.7498077353006931,0.7498077353006931,60,55,0.02629524802162966,0.014134275618374558
t34_canonical_rtl_pc4_residual,114,682,341,3.864198082956659,3.7991670020773105,553,287,0.7498077353006931,0.7498077353006931,60,55,0.02629524802162966,0.014134275618374558
t34_canonical_rtl_pc8_residual,114,682,341,3.864198082956659,3.7991670020773105,553,287,0.7498077353006931,0.7498077353006931,60,55,0.02629524802162966,0.014134275618374558
t34_commentless_rtl_pc1_residual,114,682,341,3.864198082956659,3.772691691290353,553,293,0.7498077353006931,0.7498077353006931,59,51,0.01914328928022833,0.0353356890459364
t34_commentless_rtl_pc4_residual,114,682,341,3.864198082956659,3.772691691290353,553,293,0.7498077353006931,0.7498077353006931,59,51,0.01914328928022833,0.0353356890459364
t34_commentless_rtl_pc8_residual,114,682,341,3.864198082956659,3.7443758695584557,553,293,0.7498077353006931,0.7498077353006931,59,51,0.011494140592796555,0.0353356890459364
t34_identifier_role_rtl_pc16_residual,114,682,341,3.864198082956659,3.7991670020773105,553,287,0.7498077353006931,0.7498077353006931,61,55,0.02629524802162966,0.014134275618374558
t34_identifier_role_rtl_pc1_residual,114,682,341,3.864198082956659,3.7991670020773105,553,289,0.7498077353006931,0.7498077353006931,62,56,0.02629524802162966,0.02120141342756184
t34_identifier_role_rtl_pc4_residual,114,682,341,3.864198082956659,3.7991670020773105,553,287,0.7498077353006931,0.7498077353006931,60,55,0.02629524802162966,0.014134275618374558
t34_identifier_role_rtl_pc8_residual,114,682,341,3.864198082956659,3.7991670020773105,553,286,0.7498077353006931,0.7498077353006931,62,55,0.02629524802162966,0.01060070671378092
t34_rtl_yosys_concat_pc4_residual,114,682,341,3.864198082956659,3.7352718579413793,553,286,0.7498077353006931,0.7498077353006931,62,56,0.009034810993589559,0.01060070671378092
t34_rtl_yosys_concat_pc8_residual,114,682,341,3.864198082956659,3.7352718579413793,553,286,0.7498077353006931,0.7498077353006931,62,56,0.009034810993589559,0.01060070671378092
t34_summary_plus_netlist_pc1_residual,114,682,341,3.864198082956659,3.686042536225122,553,285,0.7498077353006931,0.7498077353006931,63,56,-0.004263846031252281,0.007067137809187279
t34_summary_plus_netlist_pc4_residual,114,682,341,3.864198082956659,3.570860581337904,553,285,0.7498077353006931,0.7498077353006931,63,56,-0.03537874382173061,0.007067137809187279
