representation,family,selected_hypervolume,delta_hv_vs_lexical,selected_pareto_size,unique_canonical_netlists,unique_motif_signatures,same_problem_fraction,same_corpus_fraction
fitness_top,,3.8232476279516034,0.12142107326288754,300,52,44,,
generation_prefix,,3.1551856809847187,-0.5466408737039972,303,50,45,,
lexical_farthest,,3.701826554688716,0.0,283,60,54,,
random,,3.0741669813303787,-0.6276595733583372,303,59,50,,
t33_canonical_rtl_farthest,t33_base,3.7991670020773105,0.0973404473885946,287,59,54,0.89453125,0.9231770833333334
t33_canonical_yosys_netlist_farthest,t33_base,3.578190702854091,-0.12363585183462478,287,63,56,0.7395833333333334,0.8216145833333334
t33_commentless_rtl_farthest,t33_base,3.772691691290353,0.07086513660163707,293,59,51,0.9375,0.9440104166666666
t33_identifier_role_rtl_farthest,t33_base,3.799117946399116,0.09729139171039991,288,61,55,0.90625,0.9309895833333334
t33_raw_rtl_farthest,t33_base,3.6555395380963835,-0.046287016592332364,294,57,50,0.9427083333333334,0.94921875
t33_summary_plus_netlist_farthest,t33_base,3.686042536225122,-0.015784018463593785,285,63,56,0.81640625,0.91015625
t34_canonical_rtl_pc16_residual,t34_residual,3.7991670020773105,0.0973404473885946,287,59,54,0.8958333333333334,0.9270833333333334
t34_canonical_rtl_pc1_residual,t34_residual,3.7991670020773105,0.0973404473885946,287,60,55,0.9075520833333334,0.9244791666666666
t34_canonical_rtl_pc4_residual,t34_residual,3.7991670020773105,0.0973404473885946,287,60,55,0.9088541666666666,0.9192708333333334
t34_canonical_rtl_pc8_residual,t34_residual,3.7991670020773105,0.0973404473885946,287,60,55,0.9049479166666666,0.92578125
t34_commentless_rtl_pc1_residual,t34_residual,3.772691691290353,0.07086513660163707,293,59,51,0.9518229166666666,0.9453125
t34_commentless_rtl_pc4_residual,t34_residual,3.772691691290353,0.07086513660163707,293,59,51,0.9479166666666666,0.9466145833333334
t34_commentless_rtl_pc8_residual,t34_residual,3.7443758695584557,0.042549314869739785,293,59,51,0.9440104166666666,0.9453125
t34_identifier_role_rtl_pc16_residual,t34_residual,3.7991670020773105,0.0973404473885946,287,61,55,0.9114583333333334,0.9401041666666666
t34_identifier_role_rtl_pc1_residual,t34_residual,3.7991670020773105,0.0973404473885946,289,62,56,0.8984375,0.9309895833333334
t34_identifier_role_rtl_pc4_residual,t34_residual,3.7991670020773105,0.0973404473885946,287,60,55,0.90625,0.9361979166666666
t34_identifier_role_rtl_pc8_residual,t34_residual,3.7991670020773105,0.0973404473885946,286,62,55,0.9010416666666666,0.9375
t34_rtl_yosys_concat_pc4_residual,t34_residual,3.7352718579413793,0.03344530325266337,286,62,56,0.90625,0.9192708333333334
t34_rtl_yosys_concat_pc8_residual,t34_residual,3.7352718579413793,0.03344530325266337,286,62,56,0.91796875,0.92578125
t34_summary_plus_netlist_pc1_residual,t34_residual,3.686042536225122,-0.015784018463593785,285,63,56,0.8125,0.9036458333333334
t34_summary_plus_netlist_pc4_residual,t34_residual,3.570860581337904,-0.13096597335081173,285,63,56,0.8059895833333334,0.9049479166666666
