representation,same_problem_fraction,same_corpus_fraction,family
t33_canonical_rtl_farthest,0.89453125,0.9231770833333334,t33_base
t33_canonical_yosys_netlist_farthest,0.7395833333333334,0.8216145833333334,t33_base
t33_commentless_rtl_farthest,0.9375,0.9440104166666666,t33_base
t33_identifier_role_rtl_farthest,0.90625,0.9309895833333334,t33_base
t33_raw_rtl_farthest,0.9427083333333334,0.94921875,t33_base
t33_summary_plus_netlist_farthest,0.81640625,0.91015625,t33_base
t34_canonical_rtl_pc1_residual,0.9075520833333334,0.9244791666666666,t34_residual
t34_canonical_rtl_pc4_residual,0.9088541666666666,0.9192708333333334,t34_residual
t34_canonical_rtl_pc8_residual,0.9049479166666666,0.92578125,t34_residual
t34_canonical_rtl_pc16_residual,0.8958333333333334,0.9270833333333334,t34_residual
t34_identifier_role_rtl_pc1_residual,0.8984375,0.9309895833333334,t34_residual
t34_identifier_role_rtl_pc4_residual,0.90625,0.9361979166666666,t34_residual
t34_identifier_role_rtl_pc8_residual,0.9010416666666666,0.9375,t34_residual
t34_identifier_role_rtl_pc16_residual,0.9114583333333334,0.9401041666666666,t34_residual
t34_commentless_rtl_pc1_residual,0.9518229166666666,0.9453125,t34_residual
t34_commentless_rtl_pc4_residual,0.9479166666666666,0.9466145833333334,t34_residual
t34_commentless_rtl_pc8_residual,0.9440104166666666,0.9453125,t34_residual
t34_summary_plus_netlist_pc1_residual,0.8125,0.9036458333333334,t34_residual
t34_summary_plus_netlist_pc4_residual,0.8059895833333334,0.9049479166666666,t34_residual
t34_rtl_yosys_concat_pc4_residual,0.90625,0.9192708333333334,t34_residual
t34_rtl_yosys_concat_pc8_residual,0.91796875,0.92578125,t34_residual
