corpus,descriptor_family,method,seed,problem_id,motif_distance_threshold,valid_ppa_count,retained_count,suppressed_near_motif_count,retained_fraction,unique_motif_signatures,unique_canonical_netlists,retained_pareto_size,baseline_pareto_size,retained_hypervolume,baseline_hypervolume,retained_best_fitness,baseline_best_fitness
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob001_accu,0.0,62,8,54,0.12903225806451613,8,8,3,40,0.0,0.0,0.07583123348604481,0.07583123348604481
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob001_accu,0.01,62,6,56,0.0967741935483871,6,6,3,40,0.0,0.0,0.07583123348604481,0.07583123348604481
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob001_accu,0.025,62,3,59,0.04838709677419355,3,3,2,40,0.0,0.0,0.07583123348604481,0.07583123348604481
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob001_accu,0.05,62,2,60,0.03225806451612903,2,2,2,40,0.0,0.0,0.07583123348604481,0.07583123348604481
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob002_adder_16bit,0.0,84,4,80,0.047619047619047616,4,4,1,1,0.2051142342841318,0.2051142342841318,0.3999021508354103,0.3999021508354103
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob002_adder_16bit,0.01,84,4,80,0.047619047619047616,4,4,1,1,0.2051142342841318,0.2051142342841318,0.3999021508354103,0.3999021508354103
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob002_adder_16bit,0.025,84,4,80,0.047619047619047616,4,4,1,1,0.2051142342841318,0.2051142342841318,0.3999021508354103,0.3999021508354103
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob002_adder_16bit,0.05,84,4,80,0.047619047619047616,4,4,1,1,0.2051142342841318,0.2051142342841318,0.3999021508354103,0.3999021508354103
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob003_adder_32bit,0.0,45,1,44,0.022222222222222223,1,1,1,28,0.6744597525026996,0.6744597525026996,0.5578876849662902,0.5578876849662902
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob003_adder_32bit,0.01,45,1,44,0.022222222222222223,1,1,1,28,0.6744597525026996,0.6744597525026996,0.5578876849662902,0.5578876849662902
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob003_adder_32bit,0.025,45,1,44,0.022222222222222223,1,1,1,28,0.6744597525026996,0.6744597525026996,0.5578876849662902,0.5578876849662902
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob003_adder_32bit,0.05,45,1,44,0.022222222222222223,1,1,1,28,0.6744597525026996,0.6744597525026996,0.5578876849662902,0.5578876849662902
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob004_adder_8bit,0.0,104,3,101,0.028846153846153848,3,3,2,61,0.04095045500505561,0.04095045500505561,0.3299003322259136,0.3299003322259136
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob004_adder_8bit,0.01,104,3,101,0.028846153846153848,3,3,2,61,0.04095045500505561,0.04095045500505561,0.3299003322259136,0.3299003322259136
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob004_adder_8bit,0.025,104,3,101,0.028846153846153848,3,3,2,61,0.04095045500505561,0.04095045500505561,0.3299003322259136,0.3299003322259136
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob004_adder_8bit,0.05,104,3,101,0.028846153846153848,3,3,2,61,0.04095045500505561,0.04095045500505561,0.3299003322259136,0.3299003322259136
rtllm_gen20,lexical_structural_posthoc,classic_revolution,0,RTLLM/Prob005_adder_bcd,0.0,90,10,80,0.1111111111111111,10,10,1,9,0.022075055187637988,0.022075055187637988,0.10345842531272997,0.10345842531272997
