backend,benchmark,problem,functionality_rate,synthesis_rate,best_score,runtime_seconds,qd_archive_type,qd_coverage,qd_score,qd_best_quality
classic,RTLLM,Prob004_adder_8bit,0.6041666666666666,0.5833333333333334,0.38154412826809186,716.6967158317566,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,0.2708333333333333,0.2708333333333333,0.13523010594862098,1055.4246017932892,,,,
classic,RTLLM,Prob024_fsm,0.3958333333333333,0.3333333333333333,0.5002335522886039,793.0398881435394,,,,
classic,RTLLM,Prob037_parallel2serial,0.4375,0.375,0.08458997628975556,973.4737317562103,,,,
classic,RTLLM,Prob041_traffic_light,0.4375,0.4166666666666667,0.41677862503025903,1073.815232515335,,,,
classic,RTLLM,Prob045_alu,0.22916666666666666,0.20833333333333334,0.39459576844733557,1086.16388463974,,,,
classic,RTLLM,Prob049_signal_generator,0.3541666666666667,0.3541666666666667,0.23477469440256318,623.4530344009399,,,,
classic,VerilogEval-Spec-to-RTL,Prob098_circuit7,0.7083333333333334,0.7083333333333334,0.01200564971751411,1094.58634018898,,,,
classic,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.5833333333333334,0.5833333333333334,0.46440414507772027,1336.204946756363,,,,
classic,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.7708333333333334,0.7708333333333334,0.2636173393124066,1119.4714574813843,,,,
classic,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,0.4375,0.4375,0.32968627450980387,1038.766685962677,,,,
classic,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,0.041666666666666664,0.041666666666666664,-0.3630480257997037,1216.898421049118,,,,
classic,VerilogEval-Spec-to-RTL,Prob153_gshare,0.2708333333333333,0.2708333333333333,0.10864727995578838,762.3643352985382,,,,
rtl_native_seeded_thought_qd,RTLLM,Prob004_adder_8bit,0.75,0.75,0.38154412826809186,1788.7516028881073,grid_quantile,1.0,0.38154412826809186,0.38154412826809186
rtl_native_seeded_thought_qd,RTLLM,Prob015_multi_pipe_8bit,0.6875,0.6875,0.05279453299055512,2740.6508910655975,grid_quantile,0.375,-0.002196019914837477,0.05279453299055512
rtl_native_seeded_thought_qd,RTLLM,Prob024_fsm,0.4791666666666667,0.4583333333333333,0.49167240120946715,2100.097074985504,grid_quantile,0.3125,2.4280752789073086,0.49167240120946715
rtl_native_seeded_thought_qd,RTLLM,Prob037_parallel2serial,0.375,0.375,-0.0,2249.26212143898,grid_quantile,0.1875,-0.3285356880058867,-0.0
rtl_native_seeded_thought_qd,RTLLM,Prob041_traffic_light,0.75,0.75,0.4077420721374969,2688.9562437534332,grid_quantile,0.375,2.0297815298959088,0.4077420721374969
rtl_native_seeded_thought_qd,RTLLM,Prob045_alu,0.3958333333333333,0.3958333333333333,0.4152757737039227,2927.670412302017,grid_quantile,0.3333333333333333,1.202299592614495,0.4152757737039227
rtl_native_seeded_thought_qd,RTLLM,Prob049_signal_generator,0.7083333333333334,0.7083333333333334,0.2638032281317402,1959.3750998973846,grid_quantile,0.3333333333333333,0.9681273113394298,0.2638032281317402
rtl_native_seeded_thought_qd,VerilogEval-Spec-to-RTL,Prob098_circuit7,0.6875,0.6875,0.01200564971751411,2199.2843067646027,grid_quantile,1.0,0.01200564971751411,0.01200564971751411
rtl_native_seeded_thought_qd,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.041666666666666664,0.041666666666666664,,3148.305552482605,grid_quantile,0.0,0.0,
rtl_native_seeded_thought_qd,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.5833333333333334,0.5833333333333334,0.2636173393124066,2777.0994794368744,grid_quantile,0.3333333333333333,0.7228849028400599,0.2636173393124066
rtl_native_seeded_thought_qd,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,0.6041666666666666,0.6041666666666666,0.32968627450980387,2517.873112678528,grid_quantile,1.0,0.32968627450980387,0.32968627450980387
rtl_native_seeded_thought_qd,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,0.3125,0.2916666666666667,-0.12591398161867956,2709.49950504303,grid_quantile,0.3333333333333333,-0.8481604152745092,-0.12591398161867956
rtl_native_seeded_thought_qd,VerilogEval-Spec-to-RTL,Prob153_gshare,0.0,0.0,,1545.980403661728,grid_quantile,0.0,0.0,
