model,loader,status,path,size_bytes,sha256,class,feature_shape,expected_features,prediction_mean,prediction_std,prediction_min,prediction_max,leaf_shape,unique_leaf_ids,warnings,error
xgboost_Area,pickle,loaded,exp/external_repos/MasterRTL/ML_model/saved_model/xgboost_Area_model.pkl,21291,ffb1cc3245e323fa2a317be9aa35266a226a3d6cbd09ee45fb50ba15315da522,XGBRegressor,1x14,14,0.0,0.0,0.0,0.0,1x25,1,"UserWarning: [03:56:11] WARNING: /__w/xgboost/xgboost/src/collective/../data/../common/error_msg.h:83: If you are loading a serialized model (like pickle in Python, RDS in R) or configuration generated by an older version of XGBoost, please export the model by calling `Booster.save_model` from that version first, then load it back in current version. See: https://xgboost.readthedocs.io/en/stable/tutorials/saving_model.html for more details about differences between saving model and serializing.",
xgboost_Power,pickle,loaded,exp/external_repos/MasterRTL/ML_model/saved_model/xgboost_Power_model.pkl,21291,7c4013c1b97ff46d0ebadad04b7ac609a00a39cc3887838ab4c7514d5559257f,XGBRegressor,1x17,17,0.0,0.0,0.0,0.0,1x25,1,,
xgboost_WNS,pickle,loaded,exp/external_repos/MasterRTL/ML_model/saved_model/xgboost_WNS_model.pkl,21291,58f301128bfb97ffda8baea423c1091a45df328d49ea6c40121c54f22ed6af1d,XGBRegressor,1x16,16,0.0,0.0,0.0,0.0,1x25,1,,
xgboost_TNS,pickle,loaded,exp/external_repos/MasterRTL/ML_model/saved_model/xgboost_TNS_model.pkl,21291,58f301128bfb97ffda8baea423c1091a45df328d49ea6c40121c54f22ed6af1d,XGBRegressor,1x16,16,0.0,0.0,0.0,0.0,1x25,1,,
rfr_timing,pickle,failed,exp/external_repos/MasterRTL/ML_model/saved_model/rfr_model.pkl,17443921,b76ca3d0cde2bbdd6cad35e3639438aa14dc0ab84040c59b5523846b46e26123,,,,,,,,,,,"UnpicklingError: invalid load key, '\x06'."
rfr_timing,joblib,loaded,exp/external_repos/MasterRTL/ML_model/saved_model/rfr_model.pkl,17443921,b76ca3d0cde2bbdd6cad35e3639438aa14dc0ab84040c59b5523846b46e26123,RandomForestRegressor,128x8,8,1.436055563483162,0.02167329100630154,1.3550624058823528,1.4834888570979046,128x50,741,InconsistentVersionWarning: Trying to unpickle estimator DecisionTreeRegressor from version 1.3.0 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations | InconsistentVersionWarning: Trying to unpickle estimator RandomForestRegressor from version 1.3.0 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations,
