source,mechanism,screen,classic_mean_hv,method_mean_hv,mean_hv_delta,classic_hv_auc,method_hv_auc,hv_auc_delta,classic_valid_ppa,method_valid_ppa,valid_ppa_delta,classic_front_points,method_front_points,front_delta,classic_unique_ppa,method_unique_ppa,unique_delta,key_read,t12_implication
T31,direct_fail_pool_feedback,3_problem_holdout,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103,56,-47,3,3,0,11,6,-5,fails_P098_repair_and_loses_T26_P135_HV_signal,retire_direct_fail_feedback
T49,thought_role_separated_repair,13_problem_hard_tuning,0.092601,0.086897,-0.005704,0.082020,0.083147,0.001127,257,231,-26,30,20,-10,87,76,-11,coverage_preserved_and_best_score_improves_but_front_breadth_loses,diagnostic_only
T51,code_thought_front_slot_base,13_problem_hard_tuning,0.092601,0.089252,-0.003349,0.082020,0.085454,0.003434,257,266,9,30,21,-9,87,75,-12,yield_and_HV_AUC_recover_but_front_breadth_loses,keep_as_recovery_base
T59,short_fail_pool_feedback_on_T51,13_problem_hard_tuning,0.092601,0.086719,-0.005882,0.082020,0.079060,-0.002960,257,241,-16,30,20,-10,87,60,-27,short_feedback_loses_T51_balance_and_front_breadth,retire_short_feedback
