problem_id,early_candidate_count,early_valid_ppa_count,early_valid_ppa_rate,early_style_cluster_count,early_motif_count,early_mean_lexical_distance,final_valid_ppa_count,final_best_fitness,final_hypervolume,final_front_style_cluster_count
aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,20,12,0.6,1,1,2.7693931003442644,76,0.18901235939509997,0.0,2
aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,20,19,0.95,2,1,3.0839123285088204,181,0.6273615342010523,0.2592661312655774,1
aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,20,15,0.75,3,1,3.3627524295191207,123,0.8368315274494352,0.6744597525026996,2
aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,20,5,0.25,1,1,3.2972231824283598,156,0.33143146034955945,0.1048678318647985,3
aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,20,18,0.9,2,1,4.343720486148565,155,0.21265636497424578,0.04513122393917097,1
aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,20,20,1.0,4,1,4.387851705813957,205,0.1526053846615099,0.022066318882292994,1
aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,20,18,0.9,2,1,3.8965438774108017,194,0.5885757575757575,0.341030303030303,1
aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,20,4,0.2,1,1,4.270397260384125,103,0.7836105522021015,0.6140454579327819,1
aspdac2026/deepseek_clean_results/RTLLM/Prob010_radix2_div,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,20,10,0.5,2,1,5.1492902618308865,71,0.2755963183821623,0.006141341140206835,2
aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,20,13,0.65,2,1,4.33501257726697,104,0.5061735876497947,0.2533916857303013,2
aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,20,0,0.0,0,0,0.0,20,0.0,0.004629629629629626,1
aspdac2026/deepseek_clean_results/RTLLM/Prob014_multi_pipe_4bit,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob015_multi_pipe_8bit,20,3,0.15,1,1,5.735761317216543,80,0.2636037238514288,0.0014633065459330582,1
aspdac2026/deepseek_clean_results/RTLLM/Prob016_fixed_point_adder,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob017_fixed_point_substractor,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,20,1,0.05,1,1,0.0,55,0.0,0.027777777777777776,2
aspdac2026/deepseek_clean_results/RTLLM/Prob019_sub_64bit,20,15,0.75,2,1,3.897153555006383,141,0.4531897346903679,0.20538045432515675,3
aspdac2026/deepseek_clean_results/RTLLM/Prob020_JC_counter,20,14,0.7,1,1,3.397080166143189,123,-0.0,0.0,1
aspdac2026/deepseek_clean_results/RTLLM/Prob021_counter_12,20,19,0.95,2,1,4.43310253219732,189,0.33267251958840743,0.00675142614394951,2
aspdac2026/deepseek_clean_results/RTLLM/Prob022_ring_counter,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob023_up_down_counter,20,18,0.9,1,1,3.6513782465211135,143,0.253222496239256,0.015434428842250077,1
aspdac2026/deepseek_clean_results/RTLLM/Prob024_fsm,20,6,0.3,2,1,4.556014371156789,62,0.6451986237097278,0.4226775101657804,1
aspdac2026/deepseek_clean_results/RTLLM/Prob025_sequence_detector,20,0,0.0,0,0,0.0,28,0.3624073069271116,0.04338963931804551,1
aspdac2026/deepseek_clean_results/RTLLM/Prob026_asyn_fifo,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob027_LIFObuffer,20,9,0.45,1,1,4.203322918103549,76,0.28507382071769327,0.01906094586548925,2
aspdac2026/deepseek_clean_results/RTLLM/Prob028_LFSR,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob029_barrel_shifter,20,0,0.0,0,0,0.0,2,0.11960408684546614,0.014303959131545337,1
aspdac2026/deepseek_clean_results/RTLLM/Prob030_right_shifter,20,20,1.0,1,1,3.3294929185676043,126,0.023938572719060514,0.0,1
aspdac2026/deepseek_clean_results/RTLLM/Prob031_freq_div,20,14,0.7,1,1,3.5978942513767787,81,0.23099254843517142,0.058634873323397924,1
aspdac2026/deepseek_clean_results/RTLLM/Prob032_freq_divbyeven,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob033_freq_divbyfrac,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob034_freq_divbyodd,20,0,0.0,0,0,0.0,2,-0.20849144805587638,0.0,1
aspdac2026/deepseek_clean_results/RTLLM/Prob035_calendar,20,16,0.8,1,1,3.6402111946736584,142,0.046296617118833934,8.337375697307784e-05,1
aspdac2026/deepseek_clean_results/RTLLM/Prob036_edge_detect,20,19,0.95,2,1,4.133700506543473,156,0.9611909403137474,0.8847479810637705,1
aspdac2026/deepseek_clean_results/RTLLM/Prob037_parallel2serial,20,6,0.3,2,1,4.016808948456249,92,0.2180541247649416,0.007996075545744424,2
aspdac2026/deepseek_clean_results/RTLLM/Prob038_pulse_detect,20,0,0.0,0,0,0.0,4,0.27891446433645917,0.0210287013356067,1
aspdac2026/deepseek_clean_results/RTLLM/Prob039_serial2parallel,20,1,0.05,1,1,0.0,7,-0.1455882352941176,0.0,1
aspdac2026/deepseek_clean_results/RTLLM/Prob040_synchronizer,20,19,0.95,1,1,3.6558755976018373,157,0.0,0.027777777777777752,1
aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,20,4,0.2,1,1,5.284176301679686,95,0.6813280682643428,0.37997621641249085,1
aspdac2026/deepseek_clean_results/RTLLM/Prob042_width_8to16,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob043_RAM,20,11,0.55,1,1,3.3753858847902456,82,0.4884037998225401,0.11687591172597536,2
aspdac2026/deepseek_clean_results/RTLLM/Prob044_ROM,20,17,0.85,3,1,3.9016448722371004,122,-0.0,0.0,4
aspdac2026/deepseek_clean_results/RTLLM/Prob045_alu,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob046_clkgenerator,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/RTLLM/Prob047_instr_reg,20,10,0.5,2,1,3.746344211354739,158,0.805969209389182,0.4672920330923067,1
aspdac2026/deepseek_clean_results/RTLLM/Prob048_pe,20,16,0.8,1,1,3.5160288490677702,112,0.11193580574671953,0.0,1
aspdac2026/deepseek_clean_results/RTLLM/Prob049_signal_generator,20,1,0.05,1,1,0.0,35,0.2741941237279797,0.023776047433426522,2
aspdac2026/deepseek_clean_results/RTLLM/Prob050_square_wave,20,18,0.9,1,1,3.8243286856914533,186,0.9971985610632917,0.9915956912189978,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob001_zero,20,19,0.95,2,1,2.2905957008601354,178,-0.0,0.0,6
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob002_m2014_q4i,20,18,0.9,3,1,1.7913487497019414,175,-0.0,0.0,6
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob003_step_one,20,17,0.85,2,1,1.5934534189150003,166,-0.0,0.0,5
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob004_vector2,20,19,0.95,2,1,2.7605826875998365,192,0.4944962962962963,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob005_notgate,20,20,1.0,3,1,2.525594129267658,194,-0.0,0.0,6
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob006_vectorr,20,20,1.0,1,1,2.450217258886072,187,0.4944970414201183,0.0,4
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob007_wire,20,19,0.95,1,1,1.7241063527268785,182,0.49450236966824646,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob008_m2014_q4h,20,17,0.85,2,1,1.8494669558106402,158,0.49450236966824646,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob009_popcount3,20,19,0.95,2,1,3.834557321983773,184,-0.0,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob010_mt2015_q4a,20,20,1.0,2,1,2.492072446758715,202,-0.0,0.0,5
