evidence,method_name,variant,valid_ppa_count,selected_count,unique_canonical_netlists,unique_motif_signatures,occupied_common_audit_cells,pareto_size,baseline_pareto_size,best_fitness,note
duplicate_suppression_full_budget,sr_random_relu_pca_qd,canonical_netlist,1906,900,,,,174,496,,suppressed 1006 duplicate hits
duplicate_suppression_full_budget,sr_random_relu_pca_qd,exact_motif_signature,1906,653,,,,116,496,,suppressed 1253 duplicate hits
duplicate_suppression_full_budget,synthesis_trajectory_nod,canonical_netlist,1896,852,,,,176,558,,suppressed 1044 duplicate hits
duplicate_suppression_full_budget,synthesis_trajectory_nod,exact_motif_signature,1896,604,,,,112,558,,suppressed 1292 duplicate hits
quality_gated_novelty_full_budget,sr_random_relu_pca_qd,0.0,1906,492,228,172,70,304,496,0.6834970284641851,prefix median valid-fitness quality floor
quality_gated_novelty_full_budget,sr_random_relu_pca_qd,0.1,1906,492,233,176,74,300,496,0.6834970284641851,prefix median valid-fitness quality floor
quality_gated_novelty_full_budget,sr_random_relu_pca_qd,0.25,1906,492,241,188,80,299,496,0.6834970284641851,prefix median valid-fitness quality floor
quality_gated_novelty_full_budget,sr_random_relu_pca_qd,0.5,1906,492,248,201,82,294,496,0.6834970284641851,prefix median valid-fitness quality floor
quality_gated_novelty_full_budget,synthesis_trajectory_nod,0.0,1896,490,211,157,71,336,558,0.6834970284641851,prefix median valid-fitness quality floor
quality_gated_novelty_full_budget,synthesis_trajectory_nod,0.1,1896,490,216,163,77,328,558,0.6834970284641851,prefix median valid-fitness quality floor
quality_gated_novelty_full_budget,synthesis_trajectory_nod,0.25,1896,490,217,169,81,327,558,0.6834970284641851,prefix median valid-fitness quality floor
quality_gated_novelty_full_budget,synthesis_trajectory_nod,0.5,1896,490,224,183,83,327,558,0.6834970284641851,prefix median valid-fitness quality floor
