problem,backend,candidate,source_aig_variables,source_aig_ands,output_index,cone_variables,cone_inputs,cone_ands,embedded_nodes,embedded_edges,embedding_seconds,cone_path
Prob045_alu,classic_revolution_8x5,Prob045_alu_sample1_initial,2732,2661,2,270,44,226,445,616,0.066303,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_003_cone_01.aag
Prob045_alu,classic_revolution_8x5,Prob045_alu_sample1_initial,2732,2661,3,279,44,235,461,640,0.069279,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_003_cone_02.aag
Prob045_alu,classic_revolution_8x5,Prob045_alu_sample5_initial,2733,2662,1,258,44,214,427,588,0.063362,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_004_cone_00.aag
Prob045_alu,classic_revolution_8x5,Prob045_alu_sample5_initial,2733,2662,2,270,44,226,445,616,0.065549,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_004_cone_01.aag
Prob045_alu,classic_revolution_8x5,Prob045_alu_sample5_initial,2733,2662,3,279,44,235,461,640,0.068930,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_004_cone_02.aag
Prob045_alu,classic_revolution_8x5,Prob045_alu_sample7_initial,2928,2857,1,260,44,216,431,594,0.063194,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_005_cone_00.aag
Prob045_alu,classic_revolution_8x5,Prob045_alu_sample7_initial,2928,2857,2,276,44,232,454,630,0.065695,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_005_cone_01.aag
Prob045_alu,classic_revolution_8x5,Prob045_alu_sample7_initial,2928,2857,3,289,44,245,475,662,0.069423,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_005_cone_02.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample6_initial,9536,8863,8,8,4,4,13,13,0.010956,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_006_cone_00.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample6_initial,9536,8863,9,8,4,4,13,13,0.010264,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_006_cone_01.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample6_initial,9536,8863,10,8,4,4,13,13,0.010380,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_006_cone_02.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample7_initial,9865,9128,8,8,4,4,13,13,0.010587,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_007_cone_00.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample7_initial,9865,9128,9,8,4,4,13,13,0.010209,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_007_cone_01.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample7_initial,9865,9128,10,8,4,4,13,13,0.010512,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_007_cone_02.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample7_M-E,10482,9809,8,8,4,4,13,13,0.010851,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_008_cone_00.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample7_M-E,10482,9809,9,8,4,4,13,13,0.010587,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_008_cone_01.aag
Prob153_gshare,classic_revolution_8x5,Prob153_gshare_sample7_M-E,10482,9809,10,8,4,4,13,13,0.010264,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_008_cone_02.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample1_initial,3760,3380,52,6,3,3,10,10,0.008440,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_009_cone_00.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample1_initial,3760,3380,17,8,4,4,13,13,0.010227,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_009_cone_01.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample1_initial,3760,3380,18,8,4,4,13,13,0.010280,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_009_cone_02.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample4_initial,1270,1179,17,6,3,3,10,10,0.008301,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_010_cone_00.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample4_initial,1270,1179,20,8,4,4,13,13,0.010392,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_010_cone_01.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample4_initial,1270,1179,21,8,4,4,13,13,0.010362,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_010_cone_02.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample6_single_thought_operator,1248,1125,100,6,3,3,10,10,0.008354,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_011_cone_00.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample6_single_thought_operator,1248,1125,17,8,4,4,13,13,0.010288,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_011_cone_01.aag
Prob015_multi_pipe_8bit,code_thought_sr_front_slot_8x5,Prob015_multi_pipe_8bit_sample6_single_thought_operator,1248,1125,18,8,4,4,13,13,0.010435,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_011_cone_02.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample1_initial,2912,2841,1,260,44,216,431,594,0.063850,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_012_cone_00.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample1_initial,2912,2841,2,276,44,232,454,630,0.066098,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_012_cone_01.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample1_initial,2912,2841,3,289,44,245,475,662,0.070411,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_012_cone_02.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample2_initial,2736,2665,1,258,44,214,427,588,0.062176,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_013_cone_00.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample2_initial,2736,2665,2,270,44,226,445,616,0.064797,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_013_cone_01.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample2_initial,2736,2665,3,279,44,235,461,640,0.069001,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_013_cone_02.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample5_initial,2761,2690,36,64,7,57,92,142,0.023847,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_014_cone_00.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample5_initial,2761,2690,1,258,44,214,427,588,0.063265,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_014_cone_01.aag
Prob045_alu,code_thought_sr_front_slot_8x5,Prob045_alu_sample5_initial,2761,2690,2,270,44,226,445,616,0.065471,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_014_cone_02.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample8_initial,12210,11501,8,8,4,4,13,13,0.010748,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_015_cone_00.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample8_initial,12210,11501,9,8,4,4,13,13,0.010274,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_015_cone_01.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample8_initial,12210,11501,10,8,4,4,13,13,0.010317,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_015_cone_02.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample3_single_thought_operator,9512,8839,8,8,4,4,13,13,0.011097,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_016_cone_00.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample3_single_thought_operator,9512,8839,9,8,4,4,13,13,0.010236,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_016_cone_01.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample3_single_thought_operator,9512,8839,10,8,4,4,13,13,0.010225,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_016_cone_02.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample5_single_thought_operator,9515,8842,8,8,4,4,13,13,0.010599,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_017_cone_00.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample5_single_thought_operator,9515,8842,9,8,4,4,13,13,0.010494,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_017_cone_01.aag
Prob153_gshare,code_thought_sr_front_slot_8x5,Prob153_gshare_sample5_single_thought_operator,9515,8842,10,8,4,4,13,13,0.010290,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_017_cone_02.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample7_initial,1270,1179,52,6,3,3,10,10,0.008285,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_018_cone_00.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample7_initial,1270,1179,33,8,4,4,13,13,0.010350,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_018_cone_01.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample7_initial,1270,1179,34,8,4,4,13,13,0.010408,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_018_cone_02.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample8_initial,3787,3341,21,6,3,3,10,10,0.008374,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_019_cone_00.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample8_initial,3787,3341,17,8,4,4,13,13,0.010271,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_019_cone_01.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample8_initial,3787,3341,18,8,4,4,13,13,0.010240,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_019_cone_02.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample3_single_thought_operator,1197,1074,18,6,3,3,10,10,0.008258,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_020_cone_00.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample3_single_thought_operator,1197,1074,17,8,4,4,13,13,0.010355,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_020_cone_01.aag
Prob015_multi_pipe_8bit,masterrtl_structural_mix_8x5,Prob015_multi_pipe_8bit_sample3_single_thought_operator,1197,1074,19,8,4,4,13,13,0.010376,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_020_cone_02.aag
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample1_initial,2907,2836,1,260,44,216,431,594,0.064025,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_021_cone_00.aag
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample1_initial,2907,2836,2,276,44,232,454,630,0.066885,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_021_cone_01.aag
