seed,classic_hv,aux_hv,hv_delta,relative_hv_delta_percent,classic_pareto_points,aux_pareto_points,pareto_point_delta,classic_ref_beating,aux_ref_beating,ref_beating_delta
1001,0.14064478405974706,0.1339157308039924,-0.006729053255754652,-4.784431431809156,3.25,1.75,-1.5,8.0,4.0,-4.0
1002,0.15936940200276137,0.12247212462191491,-0.03689727738084646,-23.15204607482128,2.125,1.875,-0.25,6.625,4.375,-2.25
1003,0.13253100841854415,0.12202650313911459,-0.01050450527942956,-7.926073607057636,2.875,2.0,-0.875,7.125,5.125,-2.0
